#\*l [nm]	Flux [mW/m\sp2\ep/nm]
  552.96  1.06828e-15
  552.99  1.26981e-15
  553.02  1.00756e-15
  553.05  1.11479e-15
  553.08  1.00454e-15
  553.11  1.54783e-15
  553.14  1.45809e-15
  553.16  8.15639e-16
  553.19  8.17694e-16
  553.22  1.16457e-15
  553.25  8.84679e-16
  553.28  4.45228e-16
  553.31  1.31755e-15
  553.34  4.66808e-16
  553.36  2.07878e-16
  553.39  1.87037e-16
  553.42  1.47032e-15
  553.45  4.74503e-16
  553.48  1.07754e-15
  553.51  6.55276e-16
  553.54  1.45269e-16
  553.57  1.09947e-15
  553.59  5.09509e-16
  553.62  6.66300e-17
  553.65  3.48663e-16
  553.68  8.22877e-17
  553.71  1.02051e-15
  553.74  5.52948e-16
  553.77  8.38639e-16
  553.80  7.82637e-16
  553.82  1.05064e-15
  553.85  8.62809e-16
  553.88  4.91662e-16
  553.91  5.19886e-16
  553.94  7.12116e-16
  553.97  6.27211e-16
  554.00  8.40032e-16
  554.02  1.00929e-15
  554.05  1.31336e-15
  554.08  6.67522e-16
  554.11  1.04266e-15
  554.14  7.07160e-16
  554.17  8.16427e-16
  554.20  2.00173e-16
  554.23  1.04282e-15
  554.25  6.06241e-16
  554.28  1.12111e-15
  554.31  1.04615e-16
  554.34  8.54120e-16
  554.37  8.21655e-16
  554.40  3.73889e-16
  554.43  9.46213e-16
  554.46  1.05486e-15
  554.48  1.08910e-15
  554.51  1.43620e-15
  554.54  1.15140e-15
  554.57  1.07207e-15
  554.60  3.22663e-16
  554.63  6.08738e-16
  554.66  1.10202e-15
  554.68  7.29417e-16
  554.71  4.98688e-16
  554.74  1.15555e-15
  554.77  9.96448e-16
  554.80  8.77821e-16
  554.83  1.00264e-15
  554.86  9.93369e-16
  554.89  9.37114e-16
  554.91  7.73654e-16
  554.94  7.96397e-16
  554.97  1.23788e-15
  555.00  2.90464e-16
  555.03  5.92841e-16
  555.06  4.17679e-16
  555.09  1.12987e-15
  555.12  1.46859e-15
  555.14  7.44452e-16
  555.17  6.10810e-16
  555.20  6.43037e-16
  555.23  9.97947e-16
  555.26  8.44448e-16
  555.29  2.23035e-16
  555.32  6.33302e-16
  555.34  1.09158e-15
  555.37  7.46742e-16
  555.40  6.55252e-16
  555.43  6.43594e-16
  555.46  5.39986e-16
  555.49  7.43865e-16
  555.52  9.15642e-16
  555.55  2.54107e-16
  555.57  6.10834e-16
  555.60  7.36378e-16
  555.63  7.75611e-16
  555.66  1.08133e-15
  555.69  1.00617e-15
  555.72  7.25786e-16
  555.75  9.35097e-16
  555.78  8.51414e-16
  555.80  9.20716e-16
  555.83  7.05202e-16
  555.86  9.19818e-16
  555.89  9.95445e-16
  555.92  1.01190e-15
  555.95  1.03551e-15
  555.98  6.10009e-16
  556.01  6.69961e-16
  556.03  1.06341e-15
  556.06  1.01864e-15
  556.09  1.01222e-15
  556.12  6.90223e-16
  556.15  5.55544e-16
  556.18  7.66643e-16
  556.21  1.10063e-15
  556.23  1.35550e-15
  556.26  7.97663e-16
  556.29  7.52032e-16
  556.32  7.15655e-16
  556.35  6.06168e-16
  556.38  6.76799e-16
  556.41  1.19457e-15
  556.44  7.59116e-16
  556.46  6.77039e-16
  556.49  5.52640e-16
  556.52  1.06791e-15
  556.55  1.04585e-15
  556.58  9.79767e-16
  556.61  8.02255e-16
  556.64  1.10869e-15
  556.67  8.94039e-16
  556.69  9.61694e-16
  556.72  6.38488e-16
  556.75  6.99638e-16
  556.78  7.24953e-16
  556.81  7.63354e-16
  556.84  6.70248e-16
  556.87  7.46226e-16
  556.89  8.02066e-16
  556.92  8.14394e-16
  556.95  3.84988e-16
  556.98  4.80284e-16
  557.01  9.66548e-16
  557.04  8.57927e-16
  557.07  1.08980e-15
  557.10  5.57812e-16
  557.12  5.72608e-16
  557.15  1.13550e-15
  557.18  6.51804e-16
  557.21  9.85202e-16
  557.24  1.09965e-15
  557.27  1.01607e-15
  557.30  8.94798e-16
  557.33  1.03328e-15
  557.35  8.83627e-16
  557.38  8.34175e-16
  557.41  5.69434e-16
  557.44  9.35837e-16
  557.47  6.82160e-16
  557.50  8.22856e-16
  557.53  7.47962e-16
  557.55  8.92198e-16
  557.58  7.91623e-16
  557.61  7.94475e-16
  557.64  6.38497e-16
  557.67  9.63768e-16
  557.70  7.97185e-16
  557.73  1.39145e-15
  557.76  8.03067e-16
  557.78  8.41596e-16
  557.81  7.07204e-16
  557.84  9.43495e-16
  557.87  1.08976e-15
  557.90  9.72941e-16
  557.93  9.15222e-16
  557.96  6.97850e-16
  557.99  5.83418e-16
  558.01  9.09838e-16
  558.04  9.44192e-16
  558.07  1.04868e-15
  558.10  8.70018e-16
  558.13  7.47244e-16
  558.16  7.40793e-16
  558.19  5.76068e-16
  558.21  7.67914e-16
  558.24  7.78076e-16
  558.27  6.34388e-16
  558.30  9.41858e-16
  558.33  1.12096e-15
  558.36  9.82337e-16
  558.39  8.01419e-16
  558.42  9.06687e-16
  558.44  9.61118e-16
  558.47  7.24526e-16
  558.50  7.35519e-16
  558.53  9.61933e-16
  558.56  8.04315e-16
  558.59  1.05594e-15
  558.62  9.23642e-16
  558.65  1.07845e-15
  558.67  1.31167e-15
  558.70  9.17598e-16
  558.73  1.08805e-15
  558.76  1.04671e-15
  558.79  1.00026e-15
  558.82  8.37645e-16
  558.85  9.34465e-16
  558.88  7.72209e-16
  558.90  6.42805e-16
  558.93  8.28099e-16
  558.96  7.42157e-16
  558.99  1.11137e-15
  559.02  9.59603e-16
  559.05  8.03581e-16
  559.08  1.04322e-15
  559.10  8.17483e-16
  559.13  1.17426e-15
  559.16  1.00758e-15
  559.19  9.73297e-16
  559.22  9.12933e-16
  559.25  8.27569e-16
  559.28  9.77199e-16
  559.31  8.50628e-16
  559.33  1.02672e-15
  559.36  7.46447e-16
  559.39  8.86622e-16
  559.42  1.14457e-15
  559.45  1.03701e-15
  559.48  9.46479e-16
  559.51  7.23290e-16
  559.54  5.93924e-16
  559.56  8.74179e-16
  559.59  8.19424e-16
  559.62  8.63771e-16
  559.65  6.81740e-16
  559.68  9.85902e-16
  559.71  1.07841e-15
  559.74  7.93369e-16
  559.76  7.90573e-16
  559.79  8.01608e-16
  559.82  4.98988e-16
  559.85  4.93674e-16
  559.88  5.63191e-16
  559.91  6.53860e-16
  559.94  6.16815e-16
  559.97  5.79809e-16
  559.99  5.84494e-16
  560.02  7.68616e-16
  560.05  9.23486e-16
  560.08  6.69397e-16
  560.11  7.63687e-16
  560.14  6.55970e-16
  560.17  8.36800e-16
  560.20  6.00791e-16
  560.22  7.86323e-16
  560.25  8.81500e-16
  560.28  7.15000e-16
  560.31  8.50496e-16
  560.34  6.34949e-16
  560.37  8.00415e-16
  560.40  7.33667e-16
  560.42  7.93631e-16
  560.45  5.90322e-16
  560.48  8.29318e-16
  560.51  7.33148e-16
  560.54  7.10453e-16
  560.57  5.64321e-16
  560.60  7.13739e-16
  560.63  8.37256e-16
  560.65  6.73683e-16
  560.68  6.44000e-16
  560.71  8.73931e-16
  560.74  7.43755e-16
  560.77  8.49786e-16
  560.80  7.53456e-16
  560.83  9.16267e-16
  560.86  7.85266e-16
  560.88  9.36613e-16
  560.91  8.58868e-16
  560.94  7.30424e-16
  560.97  7.59856e-16
  561.00  7.44380e-16
  561.03  8.93108e-16
  561.06  7.92320e-16
  561.08  6.25006e-16
  561.11  6.76885e-16
  561.14  8.70949e-16
  561.17  6.71591e-16
  561.20  8.92715e-16
  561.23  8.33960e-16
  561.26  6.43360e-16
  561.29  7.48773e-16
  561.31  8.50424e-16
  561.34  8.62874e-16
  561.37  8.54462e-16
  561.40  9.25190e-16
  561.43  7.35541e-16
  561.46  7.97126e-16
  561.49  8.14322e-16
  561.52  8.32959e-16
  561.54  9.16339e-16
  561.57  6.81030e-16
  561.60  7.43051e-16
  561.63  6.60216e-16
  561.66  6.77725e-16
  561.69  6.69630e-16
  561.72  7.46099e-16
  561.75  5.00115e-16
  561.77  6.86036e-16
  561.80  7.03982e-16
  561.83  7.36440e-16
  561.86  6.77163e-16
  561.89  6.94043e-16
  561.92  8.31430e-16
  561.95  6.61728e-16
  561.97  7.23279e-16
  562.00  7.17975e-16
  562.03  6.93033e-16
  562.06  7.71008e-16
  562.09  6.06515e-16
  562.12  6.28299e-16
  562.15  7.10089e-16
  562.18  7.70568e-16
  562.20  5.67205e-16
  562.23  6.03958e-16
  562.26  6.86000e-16
  562.29  7.35054e-16
  562.32  8.44867e-16
  562.35  7.01343e-16
  562.38  8.46163e-16
  562.41  7.16803e-16
  562.43  8.88120e-16
  562.46  7.34567e-16
  562.49  7.37576e-16
  562.52  9.43188e-16
  562.55  7.76218e-16
  562.58  7.93090e-16
  562.61  6.81912e-16
  562.63  7.69256e-16
  562.66  6.78611e-16
  562.69  6.93403e-16
  562.72  8.17460e-16
  562.75  7.78364e-16
  562.78  7.92808e-16
  562.81  8.33482e-16
  562.84  7.94801e-16
  562.86  7.88658e-16
  562.89  9.32880e-16
  562.92  7.39649e-16
  562.95  6.46002e-16
  562.98  5.56202e-16
  563.01  5.56091e-16
  563.04  5.44799e-16
  563.07  5.97943e-16
  563.09  5.77127e-16
  563.12  6.78546e-16
  563.15  5.30001e-16
  563.18  6.48424e-16
  563.21  8.08630e-16
  563.24  8.46486e-16
  563.27  1.12457e-16
  563.29  7.87139e-16
  563.32  8.41578e-16
  563.35  6.14963e-16
  563.38  7.05338e-16
  563.41  7.52353e-16
  563.44  9.38958e-16
  563.47  7.54230e-16
  563.50  8.25737e-16
  563.52  8.71499e-16
  563.55  7.56641e-16
  563.58  6.45714e-16
  563.61  6.32986e-16
  563.64  5.51697e-16
  563.67  6.90914e-16
  563.70  7.27167e-16
  563.73  6.15287e-16
  563.75  6.31557e-16
  563.78  7.14545e-16
  563.81  6.90547e-16
  563.84  8.00385e-16
  563.87  7.25962e-16
  563.90  7.97775e-16
  563.93  6.14061e-16
  563.95  6.70202e-16
  563.98  5.65877e-16
  564.01  7.37825e-16
  564.04  6.31219e-16
  564.07  7.26924e-16
