#\*l [nm]	Flux [mW/m\sp2\ep/nm]
 330.00  0.00000e+00
 330.02  1.31077e-13
 330.03  1.39738e-13
 330.04  1.22004e-13
 330.06  1.28889e-13
 330.07  8.81595e-14
 330.08  8.52970e-14
 330.10  1.02133e-13
 330.11  1.00047e-13
 330.12  1.15324e-13
 330.13  1.16456e-13
 330.15  9.68644e-14
 330.16  1.07361e-13
 330.17  8.27091e-14
 330.19  7.84794e-14
 330.20  6.64158e-14
 330.21  4.93676e-14
 330.23  5.48661e-14
 330.24  4.11832e-14
 330.25  6.72780e-14
 330.26  7.37954e-14
 330.28  8.81751e-14
 330.29  8.85438e-14
 330.30  8.05644e-14
 330.32  7.93402e-14
 330.33  8.10612e-14
 330.34  8.86982e-14
 330.36  1.13113e-13
 330.37  1.15872e-13
 330.38  1.04675e-13
 330.39  1.28858e-13
 330.41  1.07548e-13
 330.42  1.03122e-13
 330.43  8.60178e-14
 330.45  9.04272e-14
 330.46  8.74126e-14
 330.47  7.69779e-14
 330.49  4.11257e-14
 330.50  4.81853e-14
 330.51  5.62186e-14
 330.52  5.77035e-14
 330.54  7.55836e-14
 330.55  8.81847e-14
 330.56  9.20357e-14
 330.58  6.86159e-14
 330.59  3.51167e-14
 330.60  3.75184e-14
 330.62  3.37156e-14
 330.63  3.99674e-14
 330.64  3.00698e-14
 330.65  6.52801e-14
 330.67  5.92580e-14
 330.68  7.74623e-14
 330.69  7.65931e-14
 330.71  4.64013e-14
 330.72  5.57796e-14
 330.73  6.92432e-14
 330.75  7.77369e-14
 330.76  1.04557e-13
 330.77  8.57091e-14
 330.78  6.04819e-14
 330.80  8.04468e-14
 330.81  7.85354e-14
 330.82  6.24930e-14
 330.84  6.94683e-14
 330.85  6.62448e-14
 330.86  7.19550e-14
 330.88  7.06071e-14
 330.89  8.47423e-14
 330.90  8.97898e-14
 330.91  8.68635e-14
 330.93  8.43766e-14
 330.94  8.26461e-14
 330.95  6.73812e-14
 330.97  6.77843e-14
 330.98  6.95064e-14
 330.99  9.24492e-14
 331.01  1.01010e-13
 331.02  1.00445e-13
 331.03  7.44682e-14
 331.04  6.11863e-14
 331.06  7.29497e-14
 331.07  5.59967e-14
 331.08  6.91486e-14
 331.10  7.25763e-14
 331.11  7.72355e-14
 331.12  7.82343e-14
 331.14  9.37564e-14
 331.15  1.04554e-13
 331.16  1.17025e-13
 331.17  1.04804e-13
 331.19  8.94001e-14
 331.20  6.82603e-14
 331.21  6.41912e-14
 331.23  5.43488e-14
 331.24  7.79883e-14
 331.25  7.60410e-14
 331.27  8.19898e-14
 331.28  7.02673e-14
 331.29  7.52865e-14
 331.30  8.63456e-14
 331.32  9.82257e-14
 331.33  8.57761e-14
 331.34  9.37808e-14
 331.36  8.42326e-14
 331.37  6.34813e-14
 331.38  5.53268e-14
 331.40  7.21318e-14
 331.41  6.36753e-14
 331.42  5.50814e-14
 331.43  4.94572e-14
 331.45  6.26564e-14
 331.46  5.22230e-14
