#\*l [nm]	Flux [mW/m\sp2\ep/nm]
  552.96  9.99544e-16
  552.99  9.22873e-16
  553.02  5.71030e-16
  553.05  7.32507e-16
  553.08  9.80451e-16
  553.11  1.09673e-15
  553.14  8.89541e-16
  553.16  9.86786e-16
  553.19  9.79763e-16
  553.22  8.18702e-16
  553.25  5.14613e-16
  553.28  7.51955e-16
  553.31  1.03377e-15
  553.34  7.18982e-16
  553.36  1.10481e-15
  553.39  8.20015e-16
  553.42  7.08158e-16
  553.45  1.14269e-15
  553.48  5.08974e-16
  553.51  6.26805e-16
  553.54  6.92993e-17
  553.57  8.01631e-16
  553.59  6.56286e-16
  553.62  8.88748e-16
  553.65  5.15871e-16
  553.68  7.85525e-16
  553.71  7.11170e-16
  553.74  7.16919e-16
  553.77  1.20452e-15
  553.80  7.28661e-16
  553.82  1.02943e-15
  553.85  1.17928e-15
  553.88  1.02476e-15
  553.91  8.13372e-16
  553.94  9.56613e-16
  553.97  8.06914e-16
  554.00  1.00424e-15
  554.02  8.74215e-16
  554.05  9.58019e-16
  554.08  1.04638e-15
  554.11  9.51785e-16
  554.14  1.07605e-15
  554.17  8.08122e-16
  554.20  8.95646e-16
  554.23  8.01538e-16
  554.25  7.17655e-16
  554.28  6.44302e-16
  554.31  7.95219e-16
  554.34  1.02300e-15
  554.37  5.24812e-16
  554.40  1.16393e-15
  554.43  1.05093e-15
  554.46  1.08328e-15
  554.48  8.95004e-16
  554.51  1.03992e-15
  554.54  9.08206e-16
  554.57  6.62840e-16
  554.60  6.09699e-16
  554.63  8.46612e-16
  554.66  9.81483e-16
  554.68  8.98167e-16
  554.71  5.76198e-16
  554.74  7.36452e-16
  554.77  5.97054e-16
  554.80  8.43162e-16
  554.83  3.79625e-16
  554.86  9.95148e-16
  554.89  9.05027e-16
  554.91  9.17026e-16
  554.94  6.34745e-16
  554.97  1.09999e-15
  555.00  7.81471e-16
  555.03  1.04833e-15
  555.06  7.38417e-16
  555.09  9.61070e-16
  555.12  7.65594e-16
  555.14  7.58253e-16
  555.17  9.33849e-16
  555.20  1.18512e-15
  555.23  6.90387e-16
  555.26  6.08316e-16
  555.29  5.77953e-16
  555.32  9.11856e-16
  555.34  6.80509e-16
  555.37  8.78914e-16
  555.40  8.57615e-16
  555.43  8.07197e-16
  555.46  9.94251e-16
  555.49  8.83721e-16
  555.52  8.11072e-16
  555.55  1.00885e-15
  555.57  1.04042e-15
  555.60  7.29166e-16
  555.63  6.69810e-16
  555.66  9.94904e-16
  555.69  9.44621e-16
  555.72  8.35832e-16
  555.75  9.63298e-16
  555.78  1.03029e-15
  555.80  6.68869e-16
  555.83  9.17328e-16
  555.86  9.91268e-16
  555.89  1.08007e-15
  555.92  9.51386e-16
  555.95  1.14291e-15
  555.98  1.18438e-15
  556.01  8.27632e-16
  556.03  9.09976e-16
  556.06  7.61360e-16
  556.09  1.00187e-15
  556.12  7.77800e-16
  556.15  8.08478e-16
  556.18  7.72218e-16
  556.21  9.20253e-16
  556.23  9.54221e-16
  556.26  8.78780e-16
  556.29  9.67957e-16
  556.32  7.65704e-16
  556.35  9.05350e-16
  556.38  7.82286e-16
  556.41  8.87115e-16
  556.44  7.08023e-16
  556.46  1.01722e-15
  556.49  1.20672e-15
  556.52  9.57541e-16
  556.55  7.08391e-16
  556.58  1.03043e-15
  556.61  9.29798e-16
  556.64  9.14510e-16
  556.67  9.35535e-16
  556.69  1.07613e-15
  556.72  1.11175e-15
  556.75  7.52494e-16
  556.78  1.06061e-15
  556.81  1.23731e-15
  556.84  8.05877e-16
  556.87  8.59947e-16
  556.89  9.71673e-16
  556.92  1.06606e-15
  556.95  9.59515e-16
  556.98  9.97246e-16
  557.01  9.71194e-16
  557.04  8.31177e-16
  557.07  8.99913e-16
  557.10  8.62319e-16
  557.12  7.62955e-16
  557.15  1.04713e-15
  557.18  8.93634e-16
  557.21  6.75452e-16
  557.24  8.50754e-16
  557.27  9.80031e-16
  557.30  9.52875e-16
  557.33  7.59837e-16
  557.35  1.13189e-15
  557.38  6.09852e-16
  557.41  9.83787e-16
  557.44  8.91686e-16
  557.47  8.31941e-16
  557.50  8.95275e-16
  557.53  1.13018e-15
  557.55  9.18431e-16
  557.58  9.24470e-16
  557.61  7.48192e-16
  557.64  8.69635e-16
  557.67  6.81330e-16
  557.70  9.41307e-16
  557.73  8.87518e-16
  557.76  9.36070e-16
  557.78  9.03736e-16
  557.81  9.45272e-16
  557.84  1.12580e-15
  557.87  1.12325e-15
  557.90  1.06341e-15
  557.93  1.26174e-15
  557.96  8.81155e-16
  557.99  9.51297e-16
  558.01  1.02190e-15
  558.04  1.09643e-15
  558.07  8.95986e-16
  558.10  9.48158e-16
  558.13  1.08705e-15
  558.16  9.31547e-16
  558.19  9.57301e-16
  558.21  7.94084e-16
  558.24  8.59295e-16
  558.27  1.01959e-15
  558.30  8.44893e-16
  558.33  8.12370e-16
  558.36  9.55777e-16
  558.39  8.58682e-16
  558.42  8.72324e-16
  558.44  9.71942e-16
  558.47  1.06403e-15
  558.50  9.18255e-16
  558.53  9.75702e-16
  558.56  9.33881e-16
  558.59  8.10298e-16
  558.62  9.57551e-16
  558.65  8.83046e-16
  558.67  1.09287e-15
  558.70  1.01551e-15
  558.73  8.75631e-16
  558.76  9.76645e-16
  558.79  1.04279e-15
  558.82  1.02913e-15
  558.85  9.82883e-16
  558.88  1.00298e-15
  558.90  8.36423e-16
  558.93  9.02514e-16
  558.96  9.50252e-16
  558.99  1.10817e-15
  559.02  8.69200e-16
  559.05  9.65339e-16
  559.08  9.53567e-16
  559.10  9.50907e-16
  559.13  1.01679e-15
  559.16  1.27940e-15
  559.19  1.11502e-15
  559.22  9.71007e-16
