#\*l [nm]	Flux [mW/m\sp2\ep/nm]
 333.16  4.42270e-14
 333.18  4.27054e-14
 333.19  3.56155e-14
 333.20  3.08020e-14
 333.22  3.70254e-14
 333.23  2.61650e-14
 333.24  3.40985e-14
 333.25  4.32006e-14
 333.27  4.49233e-14
 333.28  3.73903e-14
 333.29  3.83546e-14
 333.31  3.53046e-14
 333.32  3.46337e-14
 333.33  3.04257e-14
 333.35  2.51009e-14
 333.36  4.03423e-14
 333.37  3.17643e-14
 333.38  3.76239e-14
 333.40  2.50343e-14
 333.41  4.07940e-14
 333.42  2.87539e-14
 333.44  3.62984e-14
 333.45  2.98492e-14
 333.46  4.69265e-14
 333.48  4.79851e-14
 333.49  3.59374e-14
 333.50  3.69394e-14
 333.51  4.23868e-14
 333.53  3.20204e-14
 333.54  4.36124e-14
 333.55  4.06244e-14
 333.57  4.80224e-14
 333.58  3.39561e-14
 333.59  3.90057e-14
 333.61  4.33402e-14
 333.62  3.30189e-14
 333.63  2.29283e-14
 333.64  2.90896e-14
 333.66  3.20206e-14
 333.67  2.43496e-14
 333.68  1.99986e-14
 333.70  2.25218e-14
 333.71  2.04579e-14
 333.72  2.57897e-14
 333.74  3.55273e-14
 333.75  4.18246e-14
 333.76  4.91162e-14
 333.77  5.07354e-14
 333.79  3.62185e-14
 333.80  4.84314e-14
 333.81  3.80249e-14
 333.83  3.60875e-14
 333.84  3.11307e-14
 333.85  5.32425e-14
 333.87  5.27905e-14
 333.88  4.05281e-14
 333.89  3.39842e-14
 333.90  3.27552e-14
 333.92  4.09439e-14
 333.93  4.05533e-14
 333.94  5.26544e-14
 333.96  3.41124e-14
 333.97  4.35071e-14
 333.98  4.51324e-14
 334.00  5.04786e-14
 334.01  4.33948e-14
 334.02  4.95179e-14
 334.03  5.04882e-14
 334.05  4.03967e-14
 334.06  3.38217e-14
 334.07  3.00404e-14
 334.09  2.95304e-14
 334.10  3.74561e-14
 334.11  3.32157e-14
 334.13  4.73357e-14
 334.14  5.14162e-14
 334.15  3.96451e-14
 334.16  3.62559e-14
 334.18  2.75139e-14
 334.19  2.12961e-14
 334.20  2.21236e-14
 334.22  1.69888e-14
 334.23  2.44685e-14
 334.24  3.52606e-14
 334.26  3.26517e-14
 334.27  3.81809e-14
 334.28  4.61084e-14
 334.29  4.43039e-14
 334.31  4.52028e-14
 334.32  4.59444e-14
 334.33  4.37708e-14
 334.35  3.87150e-14
 334.36  4.77625e-14
 334.37  4.92899e-14
 334.39  4.23309e-14
 334.40  4.39982e-14
 334.41  5.03024e-14
 334.42  6.76617e-14
 334.44  4.23552e-14
 334.45  3.91815e-14
 334.46  3.56741e-14
 334.48  2.80611e-14
 334.49  3.71467e-14
 334.50  3.41211e-14
 334.52  4.05889e-14
 334.53  4.73734e-14
 334.54  6.47657e-14
 334.55  4.19497e-14
 334.57  3.96197e-14
 334.58  3.15229e-14
 334.59  5.03321e-14
 334.61  4.80172e-14
 334.62  3.55763e-14
 334.63  4.98083e-14
 334.65  6.39890e-14
 334.66  3.79341e-14
 334.67  4.01005e-14
 334.68  3.38678e-14
 334.70  3.32759e-14
 334.71  3.92056e-14
 334.72  5.13609e-14
 334.74  4.04450e-14
 334.75  4.67411e-14
 334.76  4.46739e-14
 334.78  4.35716e-14
 334.79  4.59235e-14
 334.80  4.71532e-14
 334.81  4.82549e-14
 334.83  4.09077e-14
 334.84  5.55709e-14
 334.85  4.30940e-14
 334.87  4.46229e-14
 334.88  3.84694e-14
 334.89  3.88137e-14
 334.91  4.02277e-14
 334.92  2.26415e-14
 334.93  4.39215e-14
 334.94  4.00581e-14
 334.96  4.79930e-14
 334.97  4.85933e-14
 334.98  3.67203e-14
 335.00  3.73180e-14
 335.01  4.53872e-14
 335.02  3.87501e-14
 335.04 -1.69844e-14
 335.05  5.44462e-15
 335.06  3.75636e-14
 335.07  6.20184e-14
 335.09  5.12953e-14
 335.10  4.49861e-14
 335.11  5.35617e-14
 335.13  4.38425e-14
 335.14  3.69148e-14
 335.15  5.16413e-14
 335.17  4.19407e-14
 335.18  4.86805e-14
 335.19  3.75919e-14
 335.20  3.75539e-14
 335.22  2.74204e-14
 335.23  4.95087e-14
 335.24  5.54944e-14
 335.26  6.32370e-14
 335.27  4.44608e-14
 335.28  6.09553e-14
 335.30  5.26794e-14
 335.31  3.39999e-14
 335.32  3.60285e-14
 335.33  4.03519e-14
 335.35  4.26921e-14
 335.36  5.69837e-14
 335.37  3.92615e-14
 335.39  3.90189e-14
 335.40  2.46450e-14
 335.41  3.32009e-14
 335.43  4.51013e-14
 335.44  3.57394e-14
 335.45  3.18501e-14
 335.46  2.21958e-14
 335.48  1.58827e-14
 335.49  2.28711e-14
 335.50  3.39578e-14
 335.52  4.29268e-14
 335.53  3.78895e-14
 335.54  4.49520e-14
 335.56  5.51508e-14
 335.57  6.37308e-14
 335.58  6.33488e-14
 335.59  6.00951e-14
 335.61  5.81568e-14
 335.62  4.19398e-14
 335.63  3.85212e-14
 335.65  2.86170e-14
 335.66  2.98802e-14
 335.67  4.06874e-14
 335.69  4.39209e-14
 335.70  5.11665e-14
 335.71  5.53620e-14
 335.72  5.69607e-14
 335.74  4.75374e-14
 335.75  4.69080e-14
 335.76  5.19592e-14
 335.78  4.47594e-14
 335.79  5.03635e-14
 335.80  5.19461e-14
 335.82  5.17404e-14
 335.83  3.71738e-14
 335.84  2.63265e-14
 335.85  2.96801e-14
 335.87  3.72620e-14
 335.88  2.72157e-14
 335.89  2.94614e-14
 335.91  2.38945e-14
 335.92  2.91891e-14
 335.93  2.27673e-14
 335.95  3.05024e-14
 335.96  2.43808e-14
 335.97  1.53623e-14
 335.98  2.80212e-14
 336.00  3.78091e-14
 336.01  2.48425e-14
 336.02  1.81689e-14
 336.04  1.71939e-14
 336.05  2.21366e-14
 336.06  2.02800e-14
 336.08  2.87602e-14
 336.09  2.27071e-14
 336.10  2.88662e-14
 336.11  1.99615e-14
 336.13  2.43747e-14
 336.14  2.46276e-14
 336.15  1.99271e-14
 336.17  1.73020e-14
 336.18  1.94546e-14
 336.19  2.00218e-14
 336.21  1.89920e-14
 336.22  2.62155e-14
 336.23  2.19111e-14
 336.24  2.91390e-14
 336.26  4.55717e-14
 336.27  4.13545e-14
 336.28  4.07963e-14
 336.30  3.76825e-14
 336.31  5.45901e-14
 336.32  5.99235e-14
 336.34  5.99540e-14
 336.35  3.99742e-14
 336.36  3.94873e-14
 336.37  5.24134e-14
 336.39  5.18740e-14
 336.40  4.39625e-14
 336.41  5.36965e-14
 336.43  5.44698e-14
 336.44  6.62769e-14
 336.45  4.98103e-14
 336.47  4.50314e-14
 336.48  5.48083e-14
 336.49  6.55306e-14
 336.50  5.20610e-14
 336.52  5.19573e-14
 336.53  4.24649e-14
 336.54  4.66721e-14
 336.56  4.94617e-14
 336.57  4.27759e-14
 336.58  3.26069e-14
 336.60  3.25910e-14
 336.61  3.05725e-14
 336.62  2.84596e-14
 336.63  2.67900e-14
 336.65  3.30503e-14
 336.66  4.80652e-14
 336.67  5.09379e-14
 336.69  4.75870e-14
 336.70  4.00597e-14
 336.71  3.83139e-14
 336.73  3.16603e-14
 336.74  4.22376e-14
 336.75  3.74244e-14
 336.76  4.42482e-14
 336.78  4.36307e-14
 336.79  3.53080e-14
 336.80  3.55601e-14
 336.82  4.04564e-14
 336.83  4.24898e-14
 336.84  4.79216e-14
 336.86  5.68988e-14
 336.87  4.92621e-14
 336.88  3.95294e-14
 336.89  3.78956e-14
 336.91  3.32249e-14
 336.92  2.71624e-14
 336.93  2.74948e-14
 336.95  2.21879e-14
 336.96  2.59989e-14
 336.97  2.29369e-14
 336.99  2.59939e-14
 337.00  3.11709e-14
 337.01  3.69210e-14
 337.02  2.50635e-14
 337.04  2.93922e-14
 337.05  2.81774e-14
 337.06  2.27501e-14
 337.08  3.54464e-14
 337.09  3.35952e-14
 337.10  2.61992e-14
 337.12  2.69092e-14
 337.13  2.65305e-14
 337.14  1.63578e-14
 337.15  1.71135e-14
 337.17  2.44009e-14
 337.18  2.46643e-14
 337.19  2.79623e-14
 337.21  2.16472e-14
 337.22  3.16379e-14
 337.23  2.43389e-14
 337.25  3.02833e-14
 337.26  3.50315e-14
 337.27  3.97029e-14
 337.28  4.20198e-14
 337.30  3.96803e-14
 337.31  4.44707e-14
 337.32  5.00830e-14
 337.34  4.82604e-14
 337.35  3.60888e-14
 337.36  4.18636e-14
 337.38  5.69762e-14
 337.39  6.81846e-14
 337.40  4.36633e-14
 337.41  3.77749e-14
 337.43  2.67810e-14
 337.44  2.63621e-14
 337.45  3.41509e-14
 337.47  4.71174e-14
 337.48  3.76549e-14
 337.49  4.55954e-14
 337.51  5.25291e-14
 337.52  4.46421e-14
 337.53  5.23947e-14
 337.54  4.49651e-14
 337.56  3.77931e-14
 337.57  4.69017e-14
 337.58  3.91189e-14
 337.60  4.58163e-14
 337.61  5.52009e-14
 337.62  3.81881e-14
 337.64  4.21933e-14
 337.65  4.42534e-14
 337.66  6.08703e-14
 337.67  5.84439e-14
 337.69  5.43842e-14
 337.70  4.84389e-14
 337.71  4.09567e-14
 337.73  3.90126e-14
 337.74  3.54771e-14
 337.75  2.95973e-14
 337.77  1.73705e-14
 337.78  2.50421e-14
 337.79  3.22537e-14
 337.80  4.20807e-14
 337.82  4.75564e-14
 337.83  5.59842e-14
 337.84  6.35569e-14
 337.86  5.98383e-14
 337.87  5.13956e-14
 337.88  4.73205e-14
 337.90  3.41533e-14
 337.91  3.99736e-14
 337.92  3.10574e-14
 337.93  3.04143e-14
 337.95  3.53417e-14
 337.96  5.21651e-14
 337.97  4.95515e-14
 337.99  4.60606e-14
 338.00  5.19497e-14
 338.01  4.07301e-14
 338.03  3.22549e-14
 338.04  2.65723e-14
 338.05  2.49804e-14
 338.06  2.01203e-14
 338.08  2.67825e-14
 338.09  2.55386e-14
 338.10  1.46723e-14
 338.12  3.36590e-14
 338.13  3.69154e-14
 338.14  3.57973e-14
 338.16  4.19398e-14
 338.17  5.25096e-14
 338.18  5.72572e-14
 338.19  6.57929e-14
 338.21  5.87043e-14
 338.22  5.17428e-14
 338.23  3.32296e-14
 338.25  3.63755e-14
 338.26  3.43683e-14
 338.27  3.83106e-14
 338.29  4.36460e-14
 338.30  4.85202e-14
 338.31  4.96093e-14
 338.32  5.71100e-14
 338.34  5.77279e-14
 338.35  5.90241e-14
 338.36  5.32067e-14
 338.38  4.84177e-14
 338.39  3.35204e-14
 338.40  3.93874e-14
 338.42  4.42488e-14
 338.43  4.21984e-14
 338.44  5.97932e-14
 338.45  5.64594e-14
 338.47  4.83958e-14
 338.48  4.71882e-14
 338.49  4.96288e-14
 338.51  5.55551e-14
 338.52  5.48272e-14
 338.53  3.33651e-14
 338.55  3.64427e-14
 338.56  3.62533e-14
 338.57  2.89788e-14
 338.58  2.74538e-14
 338.60  2.36967e-14
 338.61  2.27913e-14
 338.62  3.44589e-14
 338.64  4.25303e-14
 338.65  5.15507e-14
 338.66  5.41992e-14
 338.68  5.42775e-14
 338.69  5.64924e-14
 338.70  6.65756e-14
 338.71  6.20076e-14
 338.73  5.10699e-14
 338.74  6.22212e-14
 338.75  4.44487e-14
 338.77  4.33983e-14
 338.78  4.52826e-14
 338.79  4.73765e-14
 338.81  5.13079e-14
 338.82  3.66210e-14
 338.83  3.61569e-14
 338.84  3.58850e-14
 338.86  4.40329e-14
 338.87  4.71726e-14
 338.88  4.48366e-14
 338.90  5.21752e-14
 338.91  5.15991e-14
 338.92  5.26106e-14
