#\*l [nm]	Flux [mW/m\sp2\ep/nm]
 330.00  0.00000e+00
 330.02  6.63092e-14
 330.03  6.20435e-14
 330.04  8.27413e-14
 330.06  6.22507e-14
 330.07  4.55228e-14
 330.08  3.87221e-14
 330.10  1.78359e-14
 330.11  4.29223e-14
 330.12  4.31455e-14
 330.13  5.89907e-14
 330.15  7.44770e-14
 330.16  5.89986e-14
 330.17  4.37377e-14
 330.19  4.00636e-14
 330.20  2.89940e-14
 330.21  2.30435e-14
 330.23  3.66984e-14
 330.24  3.56272e-14
 330.25  3.25718e-14
 330.26  3.82726e-14
 330.28  6.12889e-14
 330.29  6.00548e-14
 330.30  7.34694e-14
 330.32  5.40780e-14
 330.33  7.40675e-14
 330.34  5.73545e-14
 330.36  1.06197e-13
 330.37  7.73162e-14
 330.38  7.13585e-14
 330.39  8.04516e-14
 330.41  5.36583e-14
 330.42  7.13873e-14
 330.43  5.81162e-14
 330.45  8.27190e-14
 330.46  6.82547e-14
 330.47  1.00808e-13
 330.49  5.44835e-14
 330.50  4.58573e-14
 330.51  2.56930e-14
 330.52  5.22550e-14
 330.54  5.54122e-14
 330.55  4.24537e-14
 330.56  4.52550e-14
 330.58  6.90461e-14
 330.59  3.45690e-14
 330.60  4.37850e-14
 330.62  3.78514e-14
 330.63  2.90427e-14
 330.64  2.16857e-14
 330.65  1.92293e-14
 330.67  4.40647e-14
 330.68  7.25695e-14
 330.69  6.09114e-14
 330.71  6.93207e-14
 330.72  5.50913e-14
 330.73  5.50396e-14
 330.75  2.19136e-14
 330.76  4.86294e-14
 330.77  5.16807e-14
 330.78  3.84377e-14
 330.80  6.10763e-14
 330.81  6.23876e-14
 330.82  5.10680e-14
 330.84  4.36712e-14
 330.85  4.14824e-14
 330.86  4.59112e-14
 330.88  4.26174e-14
 330.89  4.96813e-14
 330.90  4.30399e-14
 330.91  6.74603e-14
 330.93  5.73769e-14
 330.94  9.40680e-14
 330.95  6.81185e-14
 330.97  2.81944e-14
 330.98  3.02532e-14
 330.99  4.48334e-14
 331.01  6.22198e-14
 331.02  8.45483e-14
 331.03  4.38569e-14
 331.04  5.82567e-14
 331.06  4.48622e-14
 331.07  3.36978e-14
 331.08  4.10301e-14
 331.10  4.58314e-14
 331.11  4.43872e-14
 331.12  4.39358e-14
 331.14  5.78643e-14
 331.15  6.95263e-14
 331.16  7.13911e-14
 331.17  6.12573e-14
 331.19  7.03922e-14
 331.20  5.05022e-14
 331.21  5.37222e-14
 331.23  2.63840e-14
 331.24  6.09219e-14
 331.25  6.52831e-14
 331.27  6.08137e-14
 331.28  5.63501e-14
 331.29  7.47591e-14
 331.30  4.07697e-14
 331.32  5.07673e-14
 331.33  5.26976e-14
 331.34  6.57903e-14
 331.36  5.54781e-14
 331.37  5.55598e-14
 331.38  4.63801e-14
 331.40  5.19140e-14
 331.41  4.99428e-14
 331.42  5.56491e-14
 331.43  3.49474e-14
 331.45  4.91131e-14
 331.46  1.44692e-14
 331.47  6.24348e-14
 331.49  7.77895e-14
 331.50  4.90775e-14
 331.51  3.15522e-14
 331.53  3.47233e-14
 331.54  3.36851e-14
 331.55  4.13425e-14
 331.56  6.05847e-14
 331.58  7.17671e-14
 331.59  6.20359e-14
 331.60  6.67185e-14
 331.62  4.57795e-14
 331.63  4.64316e-14
 331.64  3.64981e-14
 331.66  2.96938e-14
 331.67  3.75452e-14
 331.68  8.39756e-14
 331.69  8.24095e-14
 331.71  8.03664e-14
 331.72  6.76876e-14
 331.73  4.73942e-14
 331.75  5.60581e-14
 331.76  5.98732e-14
 331.77  7.45346e-14
 331.79  7.52789e-14
 331.80  5.59747e-14
 331.81  9.18825e-14
 331.82  8.60040e-14
 331.84  6.39637e-14
 331.85  4.75883e-14
 331.86  4.29198e-14
 331.88  4.55506e-14
 331.89  5.76605e-14
 331.90  7.47195e-14
 331.92  6.57507e-14
 331.93  9.00574e-14
 331.94  7.51603e-14
 331.95  9.25987e-14
 331.97  9.20163e-14
 331.98  7.10554e-14
 331.99  6.65475e-14
 332.01  3.55739e-14
 332.02  5.27007e-14
 332.03  5.18775e-14
 332.05  5.55516e-14
 332.06  5.69490e-14
 332.07  5.07548e-14
 332.08  5.65203e-14
 332.10  6.96013e-14
 332.11  8.80657e-14
 332.12  7.32597e-14
 332.14  8.41257e-14
 332.15  6.96302e-14
 332.16  6.65637e-14
 332.18  7.16733e-14
 332.19  8.03040e-14
 332.20  6.53734e-14
 332.21  5.87980e-14
 332.23  8.97558e-14
 332.24  4.69554e-14
 332.25  6.92864e-14
 332.27  7.03627e-14
 332.28  6.02667e-14
 332.29  5.13658e-14
 332.31  4.61786e-14
 332.32  5.91996e-14
 332.33  7.84112e-14
 332.34  9.60944e-14
 332.36  4.16694e-14
 332.37  5.04932e-14
 332.38  3.92964e-14
 332.40  4.87589e-14
 332.41  4.93038e-14
 332.42  5.50465e-14
 332.44  7.62641e-14
 332.45  8.73814e-14
 332.46  8.72430e-14
 332.47  9.72221e-14
 332.49  6.73766e-14
 332.50  7.06567e-14
 332.51  6.07433e-14
 332.53  4.72772e-14
 332.54  4.65577e-14
 332.55  4.23793e-14
 332.57  5.37234e-14
 332.58  9.55692e-14
 332.59  4.85914e-14
 332.60  8.06348e-14
 332.62  6.41507e-14
 332.63  5.24043e-14
 332.64  4.75115e-14
 332.66  5.51298e-14
 332.67  6.14730e-14
 332.68  6.92694e-14
 332.70  7.32803e-14
 332.71  5.29910e-14
 332.72  8.34948e-14
 332.73  6.51042e-14
 332.75  5.53275e-14
 332.76  5.45868e-14
 332.77  4.82322e-14
 332.79  4.89240e-14
 332.80  7.51533e-14
 332.81  6.69394e-14
 332.83  6.46837e-14
 332.84  6.83541e-14
 332.85  5.39899e-14
 332.86  3.98700e-14
 332.88  2.55294e-14
 332.89  5.80540e-14
 332.90  3.87065e-14
 332.92  6.44443e-14
 332.93  8.15341e-14
 332.94  7.49865e-14
 332.96  7.14903e-14
 332.97  5.86361e-14
 332.98  4.66680e-14
 332.99  5.25943e-14
 333.01  5.25975e-14
 333.02  4.76497e-14
 333.03  6.90417e-14
 333.05  5.02604e-14
 333.06  7.79935e-14
 333.07  7.27220e-14
 333.09  7.12022e-14
 333.10  9.96929e-14
 333.11  8.28583e-14
 333.12  8.63283e-14
 333.14  6.75095e-14
 333.15  7.62178e-14
 333.16  7.18044e-14
 333.18  6.47266e-14
 333.19  7.13395e-14
 333.20  4.29483e-14
 333.22  4.63210e-14
 333.23  5.87885e-14
 333.24  7.25337e-14
 333.25  4.45435e-14
 333.27  4.80452e-14
 333.28  5.77162e-14
 333.29  7.54750e-14
 333.31  5.69881e-14
 333.32  7.95461e-14
 333.33  7.59661e-14
 333.35  5.05947e-14
 333.36  7.85372e-14
 333.37  5.55527e-14
 333.38  5.40741e-14
 333.40  2.46866e-14
 333.41  5.07706e-14
 333.42  3.28268e-14
 333.44  4.28537e-14
 333.45  7.82689e-14
 333.46  7.56395e-14
 333.48  9.17149e-14
 333.49  5.15621e-14
 333.50  6.34136e-14
 333.51  5.46268e-14
 333.53  5.69409e-14
 333.54  7.27517e-14
 333.55  9.34340e-14
 333.57  8.28292e-14
 333.58  8.50476e-14
