#\*l [nm]	Flux [mW/m\sp2\ep/nm]
 330.00  0.00000e+00
 330.02  4.87909e-14
 330.03  4.83430e-14
 330.04  5.38251e-14
 330.06  5.45272e-14
 330.07  4.51923e-14
 330.08  3.99624e-14
 330.10  4.62360e-14
 330.11  2.91380e-14
 330.12  3.50739e-14
 330.13  3.93604e-14
 330.15  4.21137e-14
 330.16  3.09905e-14
 330.17  5.59711e-14
 330.19  3.83055e-14
 330.20  3.82574e-14
 330.21  2.45537e-14
 330.23  2.34411e-14
 330.24  3.96437e-14
 330.25  2.15182e-14
 330.26  2.16087e-14
 330.28  5.33937e-14
 330.29  6.62456e-14
 330.30  7.63052e-14
 330.32  4.12412e-14
 330.33  3.10996e-14
 330.34  6.38470e-14
 330.36  9.06894e-14
 330.37  8.00673e-14
 330.38  5.21012e-14
 330.39  5.84415e-14
 330.41  6.11518e-14
 330.42  5.45920e-14
 330.43  5.40282e-14
 330.45  5.88738e-14
 330.46  4.48564e-14
 330.47  2.38922e-14
 330.49  3.39298e-14
 330.50  3.77375e-14
 330.51  5.20785e-14
 330.52  2.00949e-14
 330.54  2.26591e-14
 330.55  3.59787e-14
 330.56  4.82374e-14
 330.58  2.82694e-14
 330.59  2.39467e-14
 330.60  3.47614e-14
 330.62  3.29222e-14
 330.63  2.21030e-14
 330.64  3.41744e-14
 330.65  3.95164e-14
 330.67  3.73751e-14
 330.68  9.80574e-15
 330.69  3.25804e-14
 330.71  5.11543e-14
 330.72  4.80765e-14
 330.73  4.71519e-14
 330.75  5.29499e-14
 330.76  5.70215e-14
 330.77  4.41447e-14
 330.78  5.28157e-14
 330.80  5.05319e-14
 330.81  4.72414e-14
 330.82  3.87710e-14
 330.84  4.83646e-14
 330.85  4.05210e-14
 330.86  4.48647e-14
 330.88  5.07089e-14
 330.89  5.45031e-14
 330.90  5.47745e-14
 330.91  4.38051e-14
 330.93  3.68259e-14
 330.94  5.09647e-14
 330.95  5.07132e-14
 330.97  6.02725e-14
 330.98  5.82339e-14
 330.99  5.54202e-14
 331.01  4.88186e-14
 331.02  5.78295e-14
 331.03  3.62347e-14
 331.04  2.61209e-14
 331.06  5.85871e-14
 331.07  5.14108e-14
 331.08  4.06485e-14
 331.10  5.45335e-14
 331.11  4.10596e-14
 331.12  4.28904e-14
 331.14  5.20469e-14
 331.15  7.30867e-14
 331.16  3.84420e-14
 331.17  5.20927e-14
 331.19  4.56044e-14
 331.20  5.74551e-14
 331.21  3.17217e-14
 331.23  3.71235e-14
 331.24  3.89074e-14
 331.25  3.79553e-14
 331.27  3.82630e-14
 331.28  3.66095e-14
 331.29  5.77384e-14
 331.30  7.05932e-14
 331.32  4.38898e-14
 331.33  4.62186e-14
 331.34  7.64948e-14
 331.36  3.95665e-14
 331.37  5.02707e-14
 331.38  5.50089e-14
 331.40  5.14024e-14
 331.41  5.44576e-14
 331.42  6.25480e-14
 331.43  4.18206e-14
 331.45  2.90397e-14
 331.46  4.70370e-14
 331.47  4.03288e-14
 331.49  3.02424e-14
 331.50  3.20772e-14
 331.51  5.12212e-14
 331.53  3.67407e-14
 331.54  3.22710e-14
 331.55  2.02404e-14
 331.56  4.59728e-14
 331.58  3.37064e-14
 331.59  4.22233e-14
 331.60  4.76547e-14
 331.62  5.49884e-14
 331.63  5.73546e-14
 331.64  4.83073e-14
 331.66  5.87444e-14
 331.67  4.81690e-14
 331.68  3.09872e-14
 331.69  4.75899e-14
 331.71  4.71609e-14
 331.72  4.99206e-14
 331.73  2.89883e-14
 331.75  4.66850e-14
 331.76  5.60777e-14
 331.77  5.29188e-14
 331.79  3.97284e-14
 331.80  5.97821e-14
 331.81  4.55125e-14
 331.82  5.26016e-14
 331.84  5.14203e-14
 331.85  5.44771e-14
 331.86  6.28518e-14
 331.88  4.02428e-14
 331.89  5.23178e-14
 331.90  4.93144e-14
 331.92  4.37072e-14
 331.93  5.03118e-14
 331.94  5.88236e-14
 331.95  6.20057e-14
 331.97  7.12195e-14
 331.98  3.93912e-14
 331.99  4.91381e-14
 332.01  5.41054e-14
 332.02  5.34870e-14
 332.03  4.58726e-14
 332.05  3.48943e-14
 332.06  3.58810e-14
 332.07  5.59705e-14
 332.08  6.16936e-14
 332.10  6.19820e-14
 332.11  5.54827e-14
 332.12  6.90353e-14
 332.14  6.02067e-14
 332.15  5.11262e-14
 332.16  2.91171e-14
 332.18  2.85275e-14
 332.19  4.98457e-14
 332.20  4.86580e-14
 332.21  6.28024e-14
 332.23  4.08866e-14
 332.24  3.50606e-14
 332.25  4.75057e-14
 332.27  7.00289e-14
 332.28  3.87734e-14
 332.29  5.84120e-14
 332.31  5.43165e-14
 332.32  5.24414e-14
 332.33  4.37415e-14
 332.34  4.46945e-14
 332.36  3.39269e-14
 332.37  2.92069e-14
 332.38  5.45952e-14
 332.40  4.69502e-14
 332.41  6.34413e-14
 332.42  6.10916e-14
 332.44  6.93188e-14
 332.45  5.78109e-14
 332.46  5.89826e-14
 332.47  5.91577e-14
 332.49  5.35084e-14
 332.50  5.00247e-14
 332.51  6.57465e-14
 332.53  4.48077e-14
 332.54  1.09030e-14
 332.55  2.11266e-14
 332.57  2.91854e-14
 332.58  3.84552e-14
 332.59  5.06982e-14
 332.60  4.86706e-14
 332.62  5.53067e-14
 332.63  4.08446e-14
 332.64  6.11352e-14
 332.66  3.22555e-14
 332.67  3.32591e-14
 332.68  5.33601e-14
 332.70  4.06222e-14
 332.71  4.16915e-14
 332.72  7.01901e-14
 332.73  5.68698e-14
 332.75  5.30918e-14
 332.76  5.91829e-14
 332.77  3.25181e-14
 332.79  3.92636e-14
 332.80  5.73089e-14
 332.81  6.94496e-14
 332.83  5.74760e-14
 332.84  5.27975e-14
 332.85  3.90831e-14
 332.86  5.88831e-14
 332.88  7.22073e-14
 332.89  5.46821e-14
 332.90  5.70104e-14
 332.92  5.70611e-14
 332.93  5.23199e-14
 332.94  7.77218e-14
 332.96  5.49247e-14
 332.97  2.47553e-14
 332.98  4.69364e-14
 332.99  3.93514e-14
 333.01  2.73722e-14
 333.02  4.70545e-14
 333.03  4.30104e-14
 333.05  2.60536e-14
 333.06  4.92056e-14
 333.07  6.87530e-14
 333.09  5.92756e-14
 333.10  8.25613e-14
 333.11  6.34975e-14
 333.12  7.16540e-14
 333.14  6.72158e-14
 333.15  5.21659e-14
 333.16  5.18586e-14
 333.18  4.56370e-14
 333.19  4.42205e-14
 333.20  5.46764e-14
 333.22  4.88763e-14
 333.23  4.17354e-14
 333.24  4.08101e-14
 333.25  4.51740e-14
 333.27  5.51511e-14
 333.28  6.74789e-14
 333.29  5.45679e-14
 333.31  5.07822e-14
 333.32  5.02848e-14
 333.33  3.95944e-14
 333.35  3.27335e-14
 333.36  4.07189e-14
 333.37  3.48393e-14
 333.38  2.73939e-14
 333.40  4.22101e-14
 333.41  4.04652e-14
 333.42  2.59693e-14
 333.44  2.83201e-14
 333.45  4.80538e-14
 333.46  6.03442e-14
 333.48  4.48684e-14
 333.49  5.80684e-14
 333.50  6.35271e-14
 333.51  4.92558e-14
 333.53  5.83502e-14
 333.54  5.17569e-14
 333.55  4.32954e-14
 333.57  5.87696e-14
 333.58  4.32382e-14
 333.59  3.86415e-14
 333.61  5.59712e-14
 333.62  5.85180e-14
 333.63  3.88261e-14
 333.64  3.56110e-14
 333.66  4.68967e-14
 333.67  4.48542e-14
 333.68  5.38911e-14
 333.70  5.04405e-14
 333.71  4.53970e-14
 333.72  3.71917e-14
 333.74  4.91477e-14
 333.75  3.49524e-14
 333.76  4.39350e-14
 333.77  5.07865e-14
 333.79  6.34166e-14
 333.80  4.66845e-14
 333.81  5.25940e-14
 333.83  3.78386e-14
 333.84  6.89087e-14
 333.85  5.38339e-14
 333.87  5.71225e-14
 333.88  4.76891e-14
 333.89  5.70106e-14
 333.90  5.82488e-14
 333.92  5.14308e-14
 333.93  5.46026e-14
 333.94  5.06451e-14
 333.96  5.89801e-14
 333.97  5.27238e-14
 333.98  5.71293e-14
 334.00  5.88138e-14
 334.01  4.93464e-14
 334.02  6.66497e-14
 334.03  8.00019e-14
 334.05  5.18632e-14
 334.06  3.97904e-14
 334.07  3.98190e-14
 334.09  4.78146e-14
 334.10  5.59632e-14
 334.11  6.07909e-14
 334.13  5.80585e-14
 334.14  6.21466e-14
 334.15  5.94215e-14
 334.16  5.96385e-14
 334.18  4.62335e-14
 334.19  4.30353e-14
 334.20  4.77135e-14
 334.22  3.28630e-14
 334.23  4.86496e-14
 334.24  4.06258e-14
 334.26  3.71453e-14
 334.27  4.71931e-14
 334.28  5.74579e-14
 334.29  4.48516e-14
 334.31  5.79885e-14
 334.32  5.75842e-14
 334.33  4.81669e-14
 334.35  4.43525e-14
 334.36  6.52211e-14
 334.37  6.45868e-14
 334.39  6.20508e-14
 334.40  4.82809e-14
 334.41  5.96008e-14
 334.42  4.23911e-14
 334.44  4.35550e-14
 334.45  3.31073e-14
 334.46  3.58592e-14
 334.48  5.43354e-14
 334.49  3.21643e-14
 334.50  5.86762e-14
 334.52  4.52982e-14
 334.53  7.60244e-14
 334.54  4.89692e-14
 334.55  7.62443e-14
 334.57  6.49758e-14
 334.58  6.46358e-14
 334.59  5.02991e-14
 334.61  5.35895e-14
 334.62  4.28451e-14
 334.63  5.64701e-14
 334.65  4.93378e-14
 334.66  5.43717e-14
 334.67  5.39408e-14
 334.68  5.63537e-14
 334.70  4.75335e-14
 334.71  5.16593e-14
 334.72  5.67900e-14
 334.74  5.25487e-14
 334.75  7.20396e-14
 334.76  4.50432e-14
 334.78  5.19714e-14
 334.79  5.76211e-14
 334.80  6.12174e-14
 334.81  3.87819e-14
 334.83  6.20932e-14
 334.84  5.14580e-14
 334.85  5.97978e-14
 334.87  7.55752e-14
 334.88  6.55048e-14
 334.89  5.15196e-14
 334.91  6.40523e-14
 334.92  5.36556e-14
 334.93  4.02301e-14
 334.94  7.48466e-14
 334.96  5.99028e-14
 334.97  6.30048e-14
 334.98  5.33199e-14
 335.00  5.47746e-14
 335.01  5.00908e-14
 335.02  3.22149e-14
 335.04  4.44502e-14
 335.05  4.42817e-14
 335.06  5.08593e-14
 335.07  5.08646e-14
 335.09  6.56051e-14
 335.10  6.40823e-14
 335.11  4.15136e-14
 335.13  6.35541e-14
 335.14  6.58005e-14
 335.15  6.71229e-14
 335.17  3.24438e-14
 335.18  5.81192e-14
 335.19  5.44254e-14
 335.20  4.27139e-14
 335.22  4.60648e-14
 335.23  5.83641e-14
 335.24  4.78812e-14
 335.26  6.96625e-14
 335.27  7.51461e-14
 335.28  8.30425e-14
 335.30  4.99923e-14
 335.31  6.76598e-14
 335.32  5.87022e-14
 335.33  6.11748e-14
 335.35  5.58870e-14
 335.36  6.12992e-14
 335.37  5.53836e-14
 335.39  4.35100e-14
 335.40  4.49104e-14
 335.41  5.54404e-14
 335.43  4.96577e-14
 335.44  4.23427e-14
 335.45  3.77349e-14
 335.46  3.42852e-14
 335.48  4.43440e-14
 335.49  3.84259e-14
 335.50  4.44722e-14
 335.52  5.86623e-14
 335.53  4.74444e-14
 335.54  5.13947e-14
 335.56  4.88980e-14
 335.57  6.55317e-14
 335.58  9.31479e-14
 335.59  8.68179e-14
 335.61  6.77156e-14
 335.62  6.87405e-14
 335.63  6.96039e-14
 335.65  4.77255e-14
 335.66  4.88343e-14
 335.67  3.91215e-14
 335.69  6.67350e-14
 335.70  7.31487e-14
 335.71  8.64750e-14
 335.72  6.76516e-14
 335.74  6.82241e-14
 335.75  5.66354e-14
 335.76  5.22821e-14
 335.78  5.54506e-14
 335.79  5.63768e-14
 335.80  6.35417e-14
 335.82  6.54722e-14
 335.83  4.40316e-14
 335.84  3.51727e-14
 335.85  5.13356e-14
 335.87  3.95483e-14
 335.88  3.68442e-14
 335.89  4.71676e-14
 335.91  5.74487e-14
 335.92  3.77647e-14
 335.93  2.62078e-14
 335.95  3.65722e-14
 335.96  3.45926e-14
 335.97  3.11842e-14
 335.98  2.77008e-14
 336.00  4.50541e-14
 336.01  3.24278e-14
 336.02  3.05119e-14
 336.04  4.29526e-14
 336.05  2.44479e-14
 336.06  3.46903e-14
 336.08  3.55892e-14
 336.09  3.79817e-14
 336.10  3.77874e-14
 336.11  4.95865e-14
 336.13  4.34473e-14
 336.14  4.82188e-14
 336.15  4.53251e-14
 336.17  4.62819e-14
 336.18  2.86033e-14
 336.19  4.25148e-14
 336.21  3.72160e-14
 336.22  2.93759e-14
 336.23  4.56313e-14
 336.24  4.72208e-14
 336.26  5.34118e-14
 336.27  4.85643e-14
 336.28  4.26912e-14
 336.30  4.83837e-14
 336.31  5.93029e-14
 336.32  7.73156e-14
 336.34  6.32712e-14
 336.35  6.41043e-14
 336.36  5.32099e-14
 336.37  7.42212e-14
 336.39  6.81804e-14
 336.40  6.21955e-14
 336.41  6.17306e-14
 336.43  5.74280e-14
 336.44  6.73484e-14
 336.45  6.54236e-14
 336.47  6.02628e-14
 336.48  5.69114e-14
 336.49  6.42209e-14
 336.50  7.26743e-14
 336.52  6.49865e-14
 336.53  6.66204e-14
 336.54  6.75936e-14
 336.56  5.51367e-14
 336.57  4.68683e-14
 336.58  3.56897e-14
 336.60  3.72812e-14
 336.61  4.01742e-14
 336.62  4.43473e-14
 336.63  4.69567e-14
 336.65  5.02549e-14
 336.66  4.48632e-14
 336.67  6.59557e-14
 336.69  5.91300e-14
 336.70  4.17092e-14
 336.71  4.01398e-14
 336.73  6.24581e-14
 336.74  5.71140e-14
 336.75  6.71571e-14
 336.76  7.22671e-14
 336.78  6.32021e-14
 336.79  5.12312e-14
 336.80  4.80858e-14
 336.82  5.24285e-14
 336.83  4.15462e-14
 336.84  6.47432e-14
 336.86  5.60881e-14
 336.87  6.05122e-14
 336.88  5.36834e-14
 336.89  5.88237e-14
 336.91  6.30734e-14
 336.92  1.29068e-13
 336.93  4.33597e-14
 336.95  3.70981e-14
 336.96  2.87614e-14
 336.97  2.89884e-14
 336.99  2.70647e-14
 337.00  4.39076e-14
 337.01  3.78295e-14
 337.02  4.91277e-14
 337.04  3.68278e-14
 337.05  3.36386e-14
 337.06  3.24960e-14
 337.08  4.39212e-14
 337.09  2.47543e-14
 337.10  3.28202e-14
