#\*l [nm]	Flux [mW/m\sp2\ep/nm]
  545.00  0.00000e+00
  545.01  1.87652e-14
  545.02  5.61277e-14
  545.04  4.12993e-14
  545.05  2.86593e-14
  545.07  5.14980e-14
  545.08  2.07862e-14
  545.10  2.87747e-14
  545.11  3.77595e-14
  545.13  2.27330e-14
  545.14  2.29071e-14
  545.16  4.95612e-14
  545.17  3.04985e-14
  545.19  2.34123e-14
  545.20  3.03954e-14
  545.22  1.58954e-14
  545.23  2.55310e-14
  545.25  4.81156e-14
  545.26  3.19232e-14
  545.28  2.50329e-14
  545.29  3.87486e-14
  545.31  5.30037e-14
  545.32  2.44684e-14
  545.34  4.63494e-14
  545.35  5.10307e-14
  545.37  4.39155e-14
  545.38  3.58008e-14
  545.40  4.80834e-14
  545.41  5.73034e-14
  545.43  3.34012e-14
  545.44  2.89542e-14
  545.46  3.30823e-14
  545.47  2.98850e-14
  545.49  4.23715e-14
  545.50  1.99090e-14
  545.52  3.31644e-14
  545.53  4.02794e-14
  545.55  1.77898e-14
  545.56  2.49133e-14
  545.58  1.45605e-14
  545.59  2.51210e-14
  545.61  2.58935e-14
  545.62  2.66134e-14
  545.64  4.15384e-14
  545.65  3.68998e-14
  545.67  2.39173e-14
  545.68  4.37021e-14
  545.70  4.85970e-14
  545.71  5.49460e-14
  545.73  2.91156e-14
  545.74  2.29117e-14
  545.76  3.36020e-14
  545.77  3.88924e-14
  545.79  3.87303e-14
  545.80  4.39930e-14
  545.82  5.86712e-14
  545.83  3.65101e-14
  545.85  3.66792e-14
  545.86  3.44904e-14
  545.88  3.84196e-14
  545.89  3.74774e-14
  545.91  3.67972e-14
  545.92  3.93472e-14
  545.94  5.73433e-14
  545.95  4.22458e-14
  545.97  4.49862e-14
  545.98  5.33799e-14
  546.00  3.13070e-14
  546.01  2.34095e-14
  546.03  3.45929e-14
  546.04  3.31812e-14
  546.06  3.83485e-14
  546.07  2.71528e-14
  546.09  3.38157e-14
  546.10  2.02291e-14
  546.12  3.85038e-14
  546.13  2.99842e-14
  546.15  4.35167e-14
  546.16  4.54000e-14
  546.18  3.63284e-14
  546.19  4.26510e-14
  546.21  4.04943e-14
  546.22  4.74205e-14
  546.24  4.66301e-14
  546.25  4.28035e-14
  546.27  3.19446e-14
  546.28  3.81719e-14
  546.30  3.46245e-14
  546.31  3.19631e-14
  546.33  2.60676e-14
  546.34  4.10037e-14
  546.36  2.93666e-14
