#\*l [nm]	Flux [mW/m\sp2\ep/nm]
  545.00  0.00000e+00
  545.01  1.49729e-12
  545.02  1.31159e-12
  545.04  1.23592e-12
  545.05  1.22340e-12
  545.07  1.27840e-12
  545.08  1.22522e-12
  545.10  1.39022e-12
  545.11  1.13125e-12
  545.13  1.17031e-12
  545.14  1.25894e-12
  545.16  1.22449e-12
  545.17  1.20640e-12
  545.19  1.18834e-12
  545.20  1.00817e-12
  545.22  1.28247e-12
  545.23  1.20996e-12
  545.25  1.32157e-12
  545.26  1.35847e-12
  545.28  1.49184e-12
  545.29  1.47231e-12
  545.31  1.46400e-12
  545.32  1.37577e-12
  545.34  1.38251e-12
  545.35  1.35188e-12
  545.37  1.25525e-12
  545.38  1.26074e-12
  545.40  1.10828e-12
  545.41  1.25608e-12
  545.43  1.21324e-12
  545.44  1.29015e-12
  545.46  1.39542e-12
  545.47  1.28953e-12
  545.49  1.18523e-12
  545.50  1.24321e-12
  545.52  1.11226e-12
  545.53  1.05477e-12
  545.55  8.05294e-13
  545.56  5.97069e-13
  545.58  6.38039e-13
  545.59  6.86595e-13
  545.61  9.05625e-13
  545.62  1.04875e-12
  545.64  1.09341e-12
  545.65  1.07412e-12
  545.67  1.24336e-12
  545.68  1.19478e-12
  545.70  1.36013e-12
  545.71  1.33973e-12
  545.73  1.39471e-12
  545.74  1.17649e-12
  545.76  1.26414e-12
  545.77  1.23095e-12
  545.79  1.40303e-12
  545.80  1.34976e-12
  545.82  1.48729e-12
  545.83  1.38662e-12
  545.85  1.40674e-12
  545.86  1.34754e-12
  545.88  1.32206e-12
  545.89  1.38878e-12
  545.91  1.38367e-12
  545.92  1.19699e-12
  545.94  1.35906e-12
  545.95  1.28820e-12
  545.97  1.45323e-12
  545.98  1.48461e-12
  546.00  1.48807e-12
  546.01  1.44669e-12
  546.03  1.38642e-12
  546.04  1.20251e-12
  546.06  1.04474e-12
  546.07  1.01268e-12
  546.09  1.17801e-12
  546.10  1.14565e-12
  546.12  1.27185e-12
  546.13  1.26273e-12
  546.15  1.24370e-12
  546.16  1.21668e-12
  546.18  1.21552e-12
  546.19  1.32189e-12
  546.21  1.34166e-12
  546.22  1.34106e-12
  546.24  1.31836e-12
  546.25  1.19884e-12
  546.27  1.28952e-12
  546.28  1.37188e-12
  546.30  1.32570e-12
  546.31  1.06544e-12
  546.33  1.04374e-12
  546.34  1.07970e-12
  546.36  1.22404e-12
  546.37  1.21410e-12
  546.39  1.24800e-12
  546.40  1.17508e-12
  546.42  1.17634e-12
  546.43  1.20904e-12
  546.45  1.22068e-12
  546.46  1.37607e-12
  546.48  1.34048e-12
  546.49  1.40694e-12
  546.51  1.34471e-12
  546.52  1.43700e-12
  546.54  1.34683e-12
  546.55  1.37786e-12
  546.57  1.26954e-12
  546.58  1.30980e-12
  546.60  1.22872e-12
  546.61  1.27580e-12
  546.63  1.27245e-12
  546.64  1.15623e-12
  546.66  1.20380e-12
  546.67  1.29279e-12
  546.69  1.45652e-12
  546.70  1.43950e-12
  546.72  1.44641e-12
  546.73  1.57590e-12
  546.75  1.50068e-12
  546.76  1.44914e-12
  546.78  1.62022e-12
  546.79  1.49151e-12
  546.81  1.45400e-12
  546.82  1.34146e-12
  546.84  1.26268e-12
  546.85  1.32195e-12
  546.87  1.18597e-12
  546.88  1.28520e-12
  546.90  1.39371e-12
  546.91  1.37762e-12
  546.93  1.35532e-12
  546.94  1.35212e-12
  546.96  1.37756e-12
  546.97  1.55354e-12
  546.99  1.45346e-12
  547.00  1.35912e-12
  547.02  1.25818e-12
  547.03  1.25147e-12
  547.05  1.07312e-12
  547.06  9.98338e-13
  547.08  1.16307e-12
  547.09  1.20279e-12
  547.11  1.25113e-12
  547.12  1.18456e-12
  547.14  1.32653e-12
  547.15  1.39064e-12
  547.17  1.48281e-12
  547.18  1.48627e-12
  547.20  1.48206e-12
  547.21  1.61422e-12
  547.23  1.46173e-12
  547.24  1.30008e-12
  547.26  1.37468e-12
  547.27  1.20613e-12
  547.29  1.24989e-12
  547.30  1.27084e-12
  547.32  1.45560e-12
  547.33  1.33702e-12
  547.35  1.30561e-12
  547.36  1.33263e-12
  547.38  1.30564e-12
  547.39  1.22659e-12
  547.41  1.09337e-12
  547.42  1.04434e-12
  547.44  1.05563e-12
  547.45  1.09688e-12
  547.47  1.22217e-12
  547.48  1.26925e-12
  547.50  1.35582e-12
  547.51  1.36950e-12
  547.53  1.44001e-12
  547.54  1.44654e-12
  547.56  1.42344e-12
  547.57  1.38559e-12
  547.59  1.38818e-12
  547.60  1.34369e-12
  547.62  1.47574e-12
  547.63  1.28553e-12
  547.65  1.13599e-12
  547.66  1.01095e-12
  547.68  8.53340e-13
  547.69  8.63095e-13
  547.71  8.45871e-13
  547.72  1.05433e-12
  547.74  1.29451e-12
  547.75  1.33025e-12
  547.77  1.20678e-12
  547.78  1.08674e-12
  547.80  1.18555e-12
  547.81  1.27619e-12
  547.83  1.38345e-12
  547.84  1.26679e-12
  547.86  1.30619e-12
  547.87  1.30933e-12
  547.89  1.25314e-12
  547.90  1.18733e-12
  547.92  1.26397e-12
  547.93  1.29524e-12
  547.95  1.37351e-12
  547.96  1.41949e-12
  547.98  1.42431e-12
  547.99  1.59763e-12
  548.01  1.42151e-12
  548.02  1.41535e-12
  548.04  1.37936e-12
  548.05  1.38602e-12
  548.07  1.41815e-12
  548.08  1.39523e-12
  548.10  1.32379e-12
  548.11  1.37217e-12
  548.13  1.34843e-12
  548.14  9.99756e-13
  548.16  9.75066e-13
  548.17  1.10792e-12
  548.19  1.02042e-12
  548.20  1.00063e-12
  548.22  1.11639e-12
  548.23  1.21675e-12
  548.25  1.30016e-12
  548.26  1.36249e-12
  548.28  1.45520e-12
  548.29  1.46196e-12
  548.31  1.37942e-12
  548.32  1.28345e-12
  548.34  1.14918e-12
  548.35  1.32262e-12
  548.37  1.37414e-12
  548.38  1.47018e-12
  548.40  1.47617e-12
  548.41  1.42314e-12
  548.43  1.30560e-12
  548.44  1.47862e-12
  548.46  1.35457e-12
  548.47  1.33378e-12
  548.49  1.33982e-12
  548.50  1.39963e-12
  548.52  1.46428e-12
  548.53  1.48805e-12
  548.55  1.40050e-12
  548.56  1.29843e-12
  548.58  1.32300e-12
  548.59  1.46527e-12
  548.61  1.40475e-12
  548.62  1.38936e-12
  548.64  1.31996e-12
  548.65  1.37805e-12
  548.67  1.38286e-12
  548.68  1.32545e-12
  548.70  1.25729e-12
  548.71  1.26934e-12
  548.73  1.23880e-12
  548.74  1.13356e-12
  548.76  1.12097e-12
  548.77  1.07676e-12
  548.79  1.11756e-12
  548.80  1.11616e-12
  548.82  1.10363e-12
  548.83  1.06814e-12
  548.85  1.15291e-12
  548.86  1.29199e-12
  548.88  1.31387e-12
  548.89  1.39613e-12
  548.91  1.43679e-12
  548.92  1.43136e-12
  548.94  1.48549e-12
  548.95  1.47538e-12
  548.97  1.51345e-12
  548.98  1.39675e-12
  549.00  1.30470e-12
  549.01  1.18276e-12
  549.03  1.07588e-12
  549.04  1.19869e-12
  549.06  1.36062e-12
  549.07  1.34118e-12
  549.09  1.16732e-12
  549.10  1.16257e-12
  549.12  1.31024e-12
  549.13  1.39940e-12
  549.15  1.49964e-12
  549.16  1.55525e-12
  549.18  1.53362e-12
  549.19  1.54863e-12
  549.21  1.60599e-12
  549.22  1.45405e-12
  549.24  1.47141e-12
  549.25  1.40618e-12
  549.27  1.34366e-12
  549.28  1.39801e-12
  549.30  1.34233e-12
  549.31  1.47106e-12
  549.33  1.47219e-12
  549.34  1.38698e-12
  549.36  1.38078e-12
  549.37  1.35321e-12
  549.39  1.40351e-12
  549.40  1.32662e-12
  549.42  1.34881e-12
  549.43  1.29861e-12
  549.45  1.21478e-12
  549.46  1.26799e-12
  549.48  1.32248e-12
  549.49  1.35883e-12
  549.51  1.41685e-12
  549.52  1.43170e-12
  549.54  1.30665e-12
  549.55  1.23971e-12
  549.57  1.28430e-12
  549.58  1.30906e-12
  549.60  1.30756e-12
  549.61  1.43778e-12
  549.63  1.51575e-12
  549.64  1.54247e-12
  549.66  1.44756e-12
  549.67  1.40003e-12
  549.69  1.27349e-12
  549.70  1.13847e-12
  549.72  1.05387e-12
  549.73  9.04634e-13
  549.75  7.55493e-13
  549.76  6.66416e-13
  549.78  7.75559e-13
  549.79  1.06186e-12
  549.81  1.15795e-12
  549.82  1.29129e-12
  549.84  1.35226e-12
  549.85  1.33082e-12
  549.87  1.35808e-12
  549.88  1.27301e-12
  549.90  1.32402e-12
  549.91  1.44741e-12
  549.93  1.32089e-12
  549.94  1.39145e-12
  549.96  1.40998e-12
  549.97  1.36956e-12
  549.99  1.28492e-12
  550.00  1.18628e-12
  550.02  1.20578e-12
  550.03  1.29279e-12
  550.05  1.23000e-12
  550.06  1.17536e-12
  550.08  1.16701e-12
  550.09  1.29429e-12
  550.11  1.28963e-12
  550.12  1.17182e-12
  550.14  9.02143e-13
  550.15  7.67683e-13
  550.17  7.50781e-13
  550.18  1.07010e-12
  550.20  1.21200e-12
  550.21  1.32560e-12
  550.23  1.27568e-12
  550.24  1.33056e-12
  550.26  1.32718e-12
  550.27  1.45729e-12
  550.29  1.45785e-12
  550.30  1.36470e-12
  550.32  1.29774e-12
  550.33  1.22308e-12
  550.35  1.15123e-12
  550.36  1.09625e-12
  550.38  1.14867e-12
  550.39  1.05196e-12
  550.41  1.07049e-12
  550.42  1.16854e-12
  550.44  1.30876e-12
  550.45  1.35265e-12
  550.47  1.42501e-12
  550.48  1.43481e-12
  550.50  1.47624e-12
  550.51  1.39528e-12
  550.53  1.37845e-12
  550.54  1.33761e-12
  550.56  1.24157e-12
  550.57  1.14241e-12
  550.59  1.03523e-12
  550.60  1.10232e-12
  550.62  1.22349e-12
  550.63  1.19431e-12
  550.65  1.16510e-12
  550.66  9.26577e-13
  550.68  7.11990e-13
  550.69  7.17123e-13
  550.71  8.80325e-13
  550.72  1.08190e-12
  550.74  1.24123e-12
  550.75  1.34174e-12
  550.77  1.36999e-12
  550.78  1.28847e-12
  550.80  1.39136e-12
  550.81  1.44535e-12
  550.83  1.42815e-12
  550.84  1.38719e-12
  550.86  1.43673e-12
  550.87  1.41390e-12
  550.89  1.36599e-12
  550.90  1.35357e-12
  550.92  1.32522e-12
  550.93  1.31755e-12
  550.95  1.41006e-12
  550.96  1.35838e-12
  550.98  1.35756e-12
  550.99  1.37868e-12
  551.01  1.32753e-12
  551.02  1.43303e-12
  551.04  1.40426e-12
  551.05  1.35589e-12
  551.07  1.25957e-12
  551.08  1.20772e-12
  551.10  1.13625e-12
  551.11  1.08739e-12
  551.13  1.16475e-12
  551.14  1.19345e-12
  551.16  1.22203e-12
  551.17  1.16271e-12
  551.19  1.09551e-12
  551.20  1.09758e-12
  551.22  1.17986e-12
  551.23  1.17776e-12
  551.25  9.90494e-13
  551.26  8.91864e-13
  551.28  8.66610e-13
  551.29  8.68308e-13
  551.31  8.31045e-13
  551.32  1.00300e-12
  551.34  1.21394e-12
  551.35  1.29326e-12
  551.37  1.37742e-12
  551.38  1.37278e-12
  551.40  1.30798e-12
  551.41  1.14298e-12
  551.43  9.29072e-13
  551.44  7.72322e-13
  551.46  7.31816e-13
  551.47  8.39750e-13
  551.49  1.12026e-12
  551.50  1.24862e-12
  551.52  1.25679e-12
  551.53  1.26880e-12
  551.55  1.20075e-12
  551.56  1.19589e-12
  551.58  1.28194e-12
  551.59  1.32979e-12
  551.61  1.25340e-12
  551.62  1.31327e-12
  551.64  1.31741e-12
  551.65  1.27356e-12
  551.67  1.24294e-12
  551.68  1.15139e-12
  551.70  1.18224e-12
  551.71  1.21763e-12
  551.73  1.32699e-12
  551.74  1.46794e-12
  551.76  1.32807e-12
  551.77  1.39252e-12
  551.79  1.44812e-12
  551.80  1.51359e-12
  551.82  1.29865e-12
  551.83  1.25673e-12
  551.85  1.22939e-12
  551.86  1.30711e-12
  551.88  1.36890e-12
  551.89  1.38290e-12
  551.91  1.46772e-12
  551.92  1.56068e-12
  551.94  1.39569e-12
  551.95  1.42724e-12
  551.97  1.42544e-12
  551.98  1.47664e-12
  552.00  1.35435e-12
  552.01  1.29370e-12
  552.03  1.25289e-12
  552.04  1.25704e-12
  552.06  1.18498e-12
  552.07  1.30847e-12
  552.09  1.46318e-12
  552.10  1.49708e-12
  552.12  1.43256e-12
  552.13  1.47971e-12
  552.15  1.45925e-12
  552.16  1.42502e-12
  552.18  1.38262e-12
  552.19  1.39441e-12
  552.21  1.53886e-12
  552.22  1.50772e-12
  552.24  1.42958e-12
  552.25  1.35372e-12
  552.27  1.33874e-12
  552.28  1.39000e-12
  552.30  1.40304e-12
  552.31  1.47440e-12
  552.33  1.57027e-12
  552.34  1.58331e-12
  552.36  1.52716e-12
  552.37  1.54273e-12
  552.39  1.38895e-12
  552.40  1.43726e-12
  552.42  1.34361e-12
  552.43  1.35932e-12
  552.45  1.36939e-12
  552.46  1.35672e-12
  552.48  1.46324e-12
  552.49  1.35974e-12
  552.51  1.34946e-12
  552.52  1.34094e-12
  552.54  1.31458e-12
  552.55  1.31538e-12
  552.57  1.42906e-12
  552.58  1.36505e-12
  552.60  1.42310e-12
  552.61  1.40746e-12
  552.63  1.44814e-12
  552.64  1.52070e-12
  552.66  1.48819e-12
  552.67  1.46462e-12
  552.69  1.42802e-12
  552.70  1.35599e-12
  552.72  1.38152e-12
  552.73  1.42483e-12
  552.75  1.29996e-12
  552.76  1.19545e-12
  552.78  1.17729e-12
  552.79  1.20902e-12
  552.81  1.09426e-12
  552.82  1.02478e-12
  552.84  9.11450e-13
  552.85  8.09798e-13
  552.87  1.02834e-12
  552.88  1.16614e-12
  552.90  1.33553e-12
  552.91  1.34282e-12
  552.93  1.34768e-12
  552.94  1.41045e-12
  552.96  1.48844e-12
  552.97  1.57096e-12
  552.99  1.58896e-12
  553.00  1.47839e-12
  553.02  1.51514e-12
  553.03  1.49522e-12
  553.05  1.43863e-12
  553.06  1.43468e-12
  553.08  1.37100e-12
  553.09  1.42686e-12
  553.11  1.48764e-12
  553.12  1.55002e-12
  553.14  1.57310e-12
  553.15  1.54026e-12
  553.17  1.48861e-12
  553.18  1.41771e-12
  553.20  1.40855e-12
  553.21  1.30300e-12
  553.23  1.25030e-12
  553.24  1.28182e-12
  553.26  1.27791e-12
  553.27  1.24857e-12
  553.29  1.21182e-12
  553.30  1.22453e-12
  553.32  1.24324e-12
  553.33  1.37402e-12
  553.35  1.43493e-12
  553.36  1.56143e-12
  553.38  1.55497e-12
  553.39  1.51261e-12
  553.41  1.55675e-12
  553.42  1.46684e-12
  553.44  1.50121e-12
  553.45  1.40189e-12
  553.47  1.39303e-12
  553.48  1.29231e-12
  553.50  1.28278e-12
  553.51  1.31343e-12
  553.53  1.22354e-12
  553.54  1.10552e-12
  553.56  1.02299e-12
  553.57  1.07819e-12
  553.59  1.36394e-12
  553.60  1.48627e-12
  553.62  1.45625e-12
  553.63  1.43491e-12
  553.65  1.46272e-12
  553.66  1.39874e-12
  553.68  1.51431e-12
  553.69  1.51142e-12
  553.71  1.57013e-12
  553.72  1.49690e-12
  553.74  1.40618e-12
  553.75  1.34640e-12
  553.77  1.23866e-12
  553.78  1.20867e-12
  553.80  1.20411e-12
  553.81  1.31873e-12
  553.83  1.45827e-12
  553.84  1.39299e-12
  553.86  1.26395e-12
  553.87  1.18770e-12
  553.89  1.17505e-12
  553.90  1.35920e-12
  553.92  1.32067e-12
  553.93  1.47097e-12
  553.95  1.49075e-12
  553.96  1.44504e-12
  553.98  1.55966e-12
  553.99  1.61679e-12
  554.01  1.59017e-12
  554.02  1.54416e-12
  554.04  1.52897e-12
  554.05  1.47404e-12
  554.07  1.41877e-12
  554.08  1.42514e-12
  554.10  1.44562e-12
  554.11  1.40097e-12
  554.13  1.45907e-12
  554.14  1.48492e-12
  554.16  1.54795e-12
  554.17  1.58925e-12
  554.19  1.45896e-12
  554.20  1.39777e-12
  554.22  1.35382e-12
  554.23  1.39030e-12
  554.25  1.44539e-12
  554.26  1.34355e-12
  554.28  1.37628e-12
  554.29  1.34682e-12
  554.31  1.36525e-12
  554.32  1.32055e-12
  554.34  1.35967e-12
  554.35  1.37449e-12
  554.37  1.40145e-12
  554.38  1.30902e-12
  554.40  1.28868e-12
  554.41  1.37813e-12
  554.43  1.51339e-12
  554.44  1.51652e-12
  554.46  1.46537e-12
  554.47  1.45880e-12
  554.49  1.39890e-12
  554.50  1.43676e-12
  554.52  1.53220e-12
  554.53  1.48502e-12
  554.55  1.44970e-12
  554.56  1.40214e-12
  554.58  1.48589e-12
  554.59  1.43999e-12
  554.61  1.40880e-12
  554.62  1.38873e-12
  554.64  1.29385e-12
  554.65  1.29655e-12
  554.67  1.34442e-12
  554.68  1.36862e-12
  554.70  1.34466e-12
  554.71  1.20322e-12
  554.73  1.27290e-12
  554.74  1.37570e-12
  554.76  1.45510e-12
  554.77  1.52526e-12
  554.79  1.58137e-12
  554.80  1.56119e-12
  554.82  1.56184e-12
  554.83  1.55852e-12
  554.85  1.48499e-12
  554.86  1.42250e-12
  554.88  1.48567e-12
  554.89  1.45412e-12
  554.91  1.48318e-12
  554.92  1.47095e-12
  554.94  1.47255e-12
  554.95  1.47559e-12
  554.97  1.45635e-12
  554.98  1.48624e-12
  555.00  1.52378e-12
  555.01  1.47468e-12
  555.03  1.39565e-12
  555.04  1.37000e-12
  555.06  1.41433e-12
  555.07  1.31765e-12
  555.09  1.39249e-12
  555.10  1.30885e-12
  555.12  1.34738e-12
  555.13  1.39007e-12
  555.15  1.53758e-12
  555.16  1.61327e-12
  555.18  1.52428e-12
  555.19  1.49304e-12
  555.21  1.48248e-12
  555.22  1.54188e-12
