#\*l [nm]	Flux [mW/m\sp2\ep/nm]
  548.64  5.07134e-14
  548.65  4.73988e-14
  548.67  4.14704e-14
  548.68  4.15210e-14
  548.70  4.73488e-14
  548.71  4.63559e-14
  548.73  4.68784e-14
  548.74  4.21044e-14
  548.76  4.82544e-14
  548.77  4.47695e-14
  548.79  4.18444e-14
  548.80  3.64410e-14
  548.82  4.51506e-14
  548.83  4.86848e-14
  548.85  4.42026e-14
  548.86  3.95685e-14
  548.88  4.39745e-14
  548.89  5.54953e-14
  548.91  4.54486e-14
  548.92  5.17691e-14
  548.94  5.15331e-14
  548.95  4.69699e-14
  548.97  5.00774e-14
  548.98  5.18222e-14
  549.00  3.99735e-14
  549.01  4.31001e-14
  549.03  5.01526e-14
  549.04  4.20542e-14
  549.06  3.65711e-14
  549.07  3.70801e-14
  549.09  4.74981e-14
  549.10  4.25907e-14
  549.12  3.97007e-14
  549.13  4.57538e-14
  549.15  4.93524e-14
  549.16  5.92881e-14
  549.18  5.31821e-14
  549.19  5.87353e-14
  549.21  5.65979e-14
  549.22  4.99599e-14
  549.24  4.55481e-14
  549.25  4.56622e-14
  549.27  5.32455e-14
  549.28  4.30612e-14
  549.30  5.12233e-14
  549.31  4.64862e-14
  549.33  3.99430e-14
  549.34  4.50739e-14
  549.36  5.61984e-14
  549.37  5.54450e-14
  549.39  4.64146e-14
  549.40  4.03764e-14
  549.42  5.61991e-14
  549.43  5.18222e-14
  549.45  4.38500e-14
  549.46  4.41242e-14
  549.48  4.74560e-14
  549.49  5.13041e-14
  549.51  5.04488e-14
  549.52  4.82510e-14
  549.54  4.54962e-14
  549.55  3.78208e-14
  549.57  4.96325e-14
  549.58  3.87083e-14
  549.60  5.00086e-14
  549.61  4.32851e-14
  549.63  4.81626e-14
  549.64  4.80525e-14
  549.66  4.27173e-14
  549.67  5.52468e-14
  549.69  4.14671e-14
  549.70  3.44169e-14
  549.72  3.50624e-14
  549.73  2.72330e-14
  549.75  3.56060e-14
  549.76  3.99446e-14
  549.78  3.31324e-14
  549.79  2.56112e-14
  549.81  4.88018e-14
  549.82  4.54777e-14
  549.84  3.71425e-14
  549.85  4.75541e-14
  549.87  4.09573e-14
  549.88  4.48186e-14
  549.90  3.83561e-14
  549.91  4.54409e-14
  549.93  5.10095e-14
  549.94  4.05597e-14
  549.96  4.39875e-14
  549.97  3.67201e-14
  549.99  4.25317e-14
  550.00  3.61124e-14
  550.02  2.67564e-14
  550.03  3.80036e-14
  550.05  4.10773e-14
  550.06  4.64846e-14
  550.08  3.98658e-14
  550.09  3.60900e-14
  550.11  4.02109e-14
  550.12  3.65861e-14
  550.14  3.72767e-14
  550.15  3.60493e-14
  550.17  3.33647e-14
  550.18  4.39223e-14
  550.20  3.86480e-14
  550.21  4.68124e-14
  550.23  4.44747e-14
  550.24  4.86400e-14
  550.26  4.34648e-14
  550.27  4.94555e-14
  550.29  4.42319e-14
  550.30  5.37624e-14
  550.32  3.73592e-14
  550.33  4.63882e-14
  550.35  3.36658e-14
  550.36  3.95565e-14
  550.38  3.69328e-14
  550.39  4.25671e-14
  550.41  4.24500e-14
  550.42  3.46686e-14
  550.44  5.08035e-14
  550.45  4.14980e-14
  550.47  5.15603e-14
  550.48  4.58927e-14
  550.50  5.14463e-14
  550.51  4.40089e-14
  550.53  3.18211e-14
  550.54  3.82649e-14
  550.56  4.25085e-14
  550.57  3.61781e-14
  550.59  4.42310e-14
  550.60  4.27126e-14
  550.62  3.55749e-14
  550.63  3.72525e-14
  550.65  3.58495e-14
  550.66  3.18226e-14
  550.68  2.81222e-14
  550.69  3.14132e-14
  550.71  3.39487e-14
  550.72  4.10676e-14
  550.74  4.35467e-14
  550.75  4.26134e-14
  550.77  4.64310e-14
  550.78  5.04074e-14
  550.80  4.95889e-14
  550.81  3.47264e-14
  550.83  3.58322e-14
  550.84  4.37857e-14
  550.86  3.67908e-14
  550.87  4.84024e-14
  550.89  4.83414e-14
  550.90  4.65722e-14
  550.92  4.41922e-14
  550.93  4.25746e-14
  550.95  4.44961e-14
  550.96  5.15316e-14
  550.98  4.90356e-14
  550.99  5.33031e-14
  551.01  4.75323e-14
  551.02  4.28889e-14
  551.04  5.02304e-14
  551.05  4.52946e-14
  551.07  4.15258e-14
  551.08  4.39598e-14
  551.10  4.23068e-14
  551.11  3.69173e-14
  551.13  4.23230e-14
  551.14  3.86206e-14
  551.16  4.00653e-14
  551.17  4.45071e-14
  551.19  4.13460e-14
  551.20  3.85610e-14
  551.22  3.53280e-14
  551.23  3.33845e-14
  551.25  3.98377e-14
  551.26  2.77187e-14
  551.28  2.93959e-14
  551.29  3.51420e-14
  551.31  4.68685e-14
  551.32  3.42996e-14
  551.34  4.78747e-14
  551.35  4.32736e-14
  551.37  4.78440e-14
  551.38  4.23208e-14
  551.40  4.08860e-14
  551.41  3.99648e-14
  551.43  4.47029e-14
  551.44  3.19414e-14
  551.46  3.29734e-14
  551.47  2.62328e-14
  551.49  3.89093e-14
  551.50  3.82793e-14
  551.52  3.96419e-14
  551.53  4.01749e-14
  551.55  4.50335e-14
  551.56  3.60077e-14
  551.58  4.09272e-14
  551.59  3.80819e-14
  551.61  4.95381e-14
  551.62  3.65150e-14
  551.64  5.33323e-14
  551.65  4.10001e-14
  551.67  4.09693e-14
  551.68  5.34446e-14
  551.70  4.79367e-14
  551.71  3.04473e-14
  551.73  4.27237e-14
  551.74  4.37527e-14
  551.76  5.14693e-14
  551.77  5.24935e-14
  551.79  4.90953e-14
  551.80  4.76619e-14
  551.82  4.47060e-14
  551.83  3.64235e-14
  551.85  4.76750e-14
  551.86  5.17934e-14
  551.88  4.24322e-14
  551.89  4.83582e-14
  551.91  4.55346e-14
  551.92  5.59954e-14
  551.94  4.72145e-14
  551.95  4.57298e-14
  551.97  4.08339e-14
  551.98  3.47940e-14
  552.00  4.02315e-14
  552.01  3.47336e-14
  552.03  5.36892e-14
  552.04  4.61419e-14
  552.06  4.27840e-14
  552.07  4.17752e-14
  552.09  4.52496e-14
  552.10  5.22669e-14
  552.12  4.59434e-14
  552.13  4.14851e-14
  552.15  4.40870e-14
  552.16  5.26124e-14
  552.18  5.40550e-14
  552.19  4.14699e-14
  552.21  5.23469e-14
  552.22  4.75236e-14
  552.24  4.99737e-14
  552.25  4.95287e-14
  552.27  4.50182e-14
  552.28  4.47118e-14
  552.30  4.75668e-14
  552.31  4.82506e-14
  552.33  4.24431e-14
  552.34  4.54068e-14
  552.36  5.78841e-14
  552.37  5.87310e-14
  552.39  3.98728e-14
  552.40  4.66376e-14
  552.42  3.50655e-14
  552.43  4.07487e-14
  552.45  4.57214e-14
  552.46  4.09275e-14
  552.48  4.70112e-14
  552.49  3.96411e-14
  552.51  4.34285e-14
  552.52  3.94891e-14
  552.54  4.28115e-14
  552.55  4.36724e-14
  552.57  4.15881e-14
  552.58  4.40304e-14
  552.60  5.15828e-14
  552.61  5.01886e-14
  552.63  4.90058e-14
  552.64  4.88785e-14
  552.66  6.03556e-14
  552.67  5.13908e-14
  552.69  3.83335e-14
  552.70  5.04493e-14
  552.72  4.20203e-14
  552.73  4.09372e-14
  552.75  4.40568e-14
  552.76  4.23631e-14
  552.78  4.32731e-14
  552.79  4.05944e-14
  552.81  4.73302e-14
  552.82  3.93537e-14
  552.84  3.82065e-14
  552.85  2.87709e-14
  552.87  3.67627e-14
  552.88  3.78883e-14
  552.90  3.92142e-14
  552.91  5.31970e-14
  552.93  4.01995e-14
  552.94  3.38207e-14
  552.96  5.62605e-14
  552.97  5.57573e-14
  552.99  5.06662e-14
  553.00  4.43213e-14
  553.02  4.81471e-14
  553.03  4.12199e-14
  553.05  4.41568e-14
  553.06  4.76023e-14
  553.08  4.56586e-14
  553.09  4.21649e-14
  553.11  4.49172e-14
  553.12  5.29383e-14
  553.14  4.91764e-14
  553.15  5.05903e-14
  553.17  4.18900e-14
  553.18  4.90715e-14
  553.20  4.58111e-14
  553.21  3.57598e-14
  553.23  3.88810e-14
  553.24  4.58717e-14
  553.26  4.72675e-14
  553.27  4.49421e-14
  553.29  5.12605e-14
  553.30  4.65936e-14
  553.32  4.06000e-14
  553.33  4.32564e-14
  553.35  4.14712e-14
  553.36  5.21873e-14
  553.38  4.55376e-14
  553.39  5.16100e-14
  553.41  4.63408e-14
  553.42  4.27601e-14
  553.44  5.03299e-14
  553.45  4.78453e-14
  553.47  4.35683e-14
  553.48  3.18715e-14
  553.50  3.36764e-14
  553.51  3.58975e-14
  553.53  3.89286e-14
  553.54  2.60258e-14
  553.56  3.29711e-14
  553.57  3.84931e-14
  553.59  3.76186e-14
  553.60  4.17406e-14
  553.62  4.22384e-14
  553.63  4.46160e-14
  553.65  5.43328e-14
  553.66  5.23237e-14
  553.68  4.52581e-14
  553.69  5.46418e-14
  553.71  3.91522e-14
  553.72  5.31682e-14
