#\*l [nm]	Flux [mW/m\sp2\ep/nm]
  546.00  0.00000e+00
  546.01  6.59972e-14
  546.02  4.51372e-14
  546.04  4.55474e-14
  546.05  4.94368e-14
  546.07  5.00147e-14
  546.08  4.93516e-14
  546.10  5.15707e-14
  546.11  5.17723e-14
  546.13  4.92581e-14
  546.14  4.86510e-14
  546.15  4.61241e-14
  546.17  4.79053e-14
  546.18  5.05524e-14
  546.20  5.10582e-14
  546.21  5.50844e-14
  546.23  5.29752e-14
  546.24  5.65364e-14
  546.25  5.69888e-14
  546.27  5.90239e-14
  546.28  6.29330e-14
  546.30  6.48153e-14
  546.31  6.55673e-14
  546.33  6.62225e-14
  546.34  6.01423e-14
  546.35  5.60498e-14
  546.37  5.74622e-14
  546.38  5.28183e-14
  546.40  5.03608e-14
  546.41  4.78470e-14
  546.43  5.30698e-14
  546.44  5.54673e-14
  546.46  5.73960e-14
  546.47  5.45937e-14
  546.48  5.80721e-14
  546.50  5.48243e-14
  546.51  5.78563e-14
  546.53  6.04569e-14
  546.54  6.52905e-14
  546.56  6.60674e-14
  546.57  6.65386e-14
  546.58  6.60874e-14
  546.60  7.12653e-14
  546.61  7.25849e-14
  546.63  6.63580e-14
  546.64  6.54230e-14
  546.66  6.60003e-14
  546.67  6.46719e-14
  546.69  6.20513e-14
  546.70  6.04920e-14
  546.71  5.84704e-14
  546.73  5.58454e-14
  546.74  5.91907e-14
  546.76  6.14394e-14
  546.77  6.33074e-14
  546.79  6.59631e-14
  546.80  7.01517e-14
  546.81  6.93954e-14
  546.83  7.08255e-14
  546.84  7.31991e-14
  546.86  7.34383e-14
  546.87  7.08666e-14
  546.89  6.97281e-14
  546.90  6.74145e-14
  546.91  6.40022e-14
  546.93  6.14332e-14
  546.94  6.21500e-14
  546.96  6.31227e-14
  546.97  6.63996e-14
  546.99  6.83241e-14
  547.00  6.69256e-14
  547.02  6.69971e-14
  547.03  6.75414e-14
  547.04  6.69680e-14
  547.06  6.50724e-14
  547.07  6.54991e-14
  547.09  6.31641e-14
  547.10  6.17634e-14
  547.12  5.29546e-14
  547.13  5.13428e-14
  547.14  5.03307e-14
  547.16  4.88045e-14
  547.17  5.38555e-14
  547.19  5.65370e-14
  547.20  5.70505e-14
  547.22  6.30312e-14
  547.23  6.39229e-14
  547.25  6.82650e-14
  547.26  6.72403e-14
  547.27  6.98819e-14
  547.29  6.96667e-14
  547.30  6.44912e-14
  547.32  6.55949e-14
  547.33  6.51330e-14
  547.35  5.98904e-14
  547.36  6.06777e-14
  547.37  6.27680e-14
  547.39  6.55544e-14
  547.40  6.59081e-14
  547.42  6.40462e-14
  547.43  6.37773e-14
  547.45  6.02820e-14
  547.46  5.80156e-14
  547.48  5.53841e-14
  547.49  5.41694e-14
  547.50  5.17001e-14
  547.52  5.37517e-14
  547.53  5.19283e-14
  547.55  5.60963e-14
  547.56  6.03536e-14
  547.58  6.18926e-14
  547.59  6.66664e-14
  547.60  6.75021e-14
  547.62  6.55210e-14
  547.63  6.66827e-14
  547.65  6.45427e-14
  547.66  6.55641e-14
  547.68  6.42587e-14
  547.69  6.40252e-14
  547.70  5.59386e-14
  547.72  5.35356e-14
  547.73  4.66860e-14
  547.75  4.15530e-14
  547.76  3.93614e-14
  547.78  4.10885e-14
  547.79  4.27897e-14
  547.81  4.82431e-14
  547.82  5.53613e-14
  547.83  5.68799e-14
  547.85  5.64154e-14
  547.86  5.78591e-14
  547.88  6.08848e-14
  547.89  5.96869e-14
  547.91  6.39895e-14
  547.92  6.14993e-14
  547.93  6.28639e-14
  547.95  6.24382e-14
  547.96  6.14161e-14
  547.98  6.24896e-14
  547.99  6.15237e-14
  548.01  6.36962e-14
  548.02  6.56399e-14
  548.04  6.65423e-14
  548.05  6.72254e-14
  548.06  6.91458e-14
  548.08  6.97692e-14
  548.09  6.54509e-14
  548.11  6.47799e-14
  548.12  6.41686e-14
  548.14  6.61510e-14
  548.15  6.37370e-14
  548.16  6.02530e-14
  548.18  5.65386e-14
  548.19  5.65012e-14
  548.21  5.10767e-14
  548.22  4.89509e-14
  548.24  4.62302e-14
  548.25  4.63047e-14
  548.26  4.81582e-14
  548.28  5.06060e-14
  548.29  5.28292e-14
  548.31  5.64427e-14
  548.32  5.94447e-14
  548.34  6.37758e-14
  548.35  6.37573e-14
  548.37  6.71171e-14
  548.38  6.67682e-14
  548.39  6.11752e-14
  548.41  5.56799e-14
  548.42  5.66087e-14
  548.44  6.14837e-14
  548.45  6.38771e-14
  548.47  6.77140e-14
  548.48  6.91981e-14
  548.49  6.97770e-14
  548.51  6.64652e-14
  548.52  6.51061e-14
  548.54  6.53511e-14
  548.55  6.37173e-14
  548.57  6.54017e-14
  548.58  6.58156e-14
  548.60  6.84665e-14
  548.61  7.08994e-14
  548.62  6.88745e-14
  548.64  6.63280e-14
  548.65  6.58857e-14
  548.67  6.28051e-14
  548.68  6.83160e-14
  548.70  6.62200e-14
  548.71  6.76690e-14
  548.72  6.80208e-14
  548.74  6.63900e-14
  548.75  6.58394e-14
  548.77  6.61469e-14
  548.78  6.51527e-14
  548.80  6.12813e-14
  548.81  6.00458e-14
