#\*l [nm]	Flux [mW/m\sp2\ep/nm]
  545.00  0.00000e+00
  545.01  6.03209e-14
  545.02  6.07233e-14
  545.04  4.33791e-14
  545.05  4.27963e-14
  545.07  4.15550e-14
  545.08  4.63791e-14
  545.10  5.16580e-14
  545.11  3.91895e-14
  545.13  3.18848e-14
  545.14  4.59541e-14
  545.16  4.33270e-14
  545.17  4.69804e-14
  545.19  4.64675e-14
  545.20  4.84551e-14
  545.22  4.35385e-14
  545.23  5.26631e-14
  545.25  5.42377e-14
  545.26  4.91057e-14
  545.28  5.32917e-14
  545.29  6.28080e-14
  545.31  7.57982e-14
  545.32  7.15857e-14
  545.34  4.69082e-14
  545.35  6.34528e-14
  545.37  6.60030e-14
  545.38  6.26669e-14
  545.40  4.70676e-14
  545.41  5.08632e-14
  545.43  5.01324e-14
  545.44  5.91334e-14
  545.46  4.93731e-14
  545.47  4.38848e-14
  545.49  5.02823e-14
  545.50  5.83908e-14
  545.52  5.36280e-14
  545.53  4.22876e-14
  545.55  4.97781e-14
  545.56  5.56936e-14
  545.58  3.98164e-14
  545.59  3.98621e-14
  545.61  4.90581e-14
  545.62  3.95930e-14
  545.64  5.26584e-14
  545.65  3.61381e-14
  545.67  4.07686e-14
  545.68  5.31873e-14
  545.70  4.61422e-14
  545.71  5.66685e-14
  545.73  5.07779e-14
  545.74  4.50120e-14
  545.76  5.41685e-14
  545.77  4.62823e-14
  545.79  4.93838e-14
  545.80  5.32970e-14
  545.82  5.22259e-14
  545.83  4.97298e-14
  545.85  5.24902e-14
  545.86  5.07785e-14
  545.88  5.37326e-14
  545.89  4.28229e-14
  545.91  4.82274e-14
  545.92  5.54487e-14
  545.94  6.31624e-14
  545.95  3.52675e-14
  545.97  5.42882e-14
  545.98  5.65741e-14
  546.00  6.35228e-14
  546.01  4.82180e-14
  546.03  4.70736e-14
  546.04  5.32647e-14
  546.06  5.44671e-14
  546.07  4.61173e-14
  546.09  3.86971e-14
  546.10  3.64550e-14
  546.12  4.51084e-14
  546.13  5.72669e-14
  546.15  6.06957e-14
  546.16  5.26598e-14
  546.18  5.79470e-14
  546.19  5.30157e-14
  546.21  5.83916e-14
  546.22  6.39627e-14
